Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,3,0,0
3/20/20,3,0,0
3/21/20,3,0,0
3/22/20,3,0,0
3/23/20,4,0,0
3/24/20,4,0,0
3/25/20,4,0,0
3/26/20,4,0,0
3/27/20,4,0,0
3/28/20,4,0,0
3/29/20,19,0,0
3/30/20,19,0,0
3/31/20,19,0,0
4/1/20,19,0,0
4/2/20,22,2,2
4/3/20,22,2,2
4/4/20,22,2,2
4/5/20,45,5,2
4/6/20,45,5,2
4/7/20,45,5,2
4/8/20,45,5,2
4/9/20,60,5,5
4/10/20,60,5,5
4/11/20,60,5,5
4/12/20,60,5,5
4/13/20,60,5,5
4/14/20,60,5,5
4/15/20,117,5,11
4/16/20,117,5,11
4/17/20,143,6,11
4/18/20,143,6,11
4/19/20,143,6,11
4/20/20,160,6,16
4/21/20,165,6,16
4/22/20,186,6,16
4/23/20,186,6,16
4/24/20,200,6,19
4/25/20,200,6,19
4/26/20,200,6,19
4/27/20,200,6,19
4/28/20,207,8,19
4/29/20,207,8,19
4/30/20,220,9,19
5/1/20,229,9,25
5/2/20,229,9,25
5/3/20,229,9,25
5/4/20,236,10,26
5/5/20,236,10,26
5/6/20,264,10,30
5/7/20,264,10,30
5/8/20,274,10,33
5/9/20,274,10,33
5/10/20,274,10,33
5/11/20,333,11,53
5/12/20,333,11,53
5/13/20,333,11,53
5/14/20,391,15,87
5/15/20,391,15,87
5/16/20,391,15,87
5/17/20,391,15,87
5/18/20,412,15,110
5/19/20,420,15,132
5/20/20,420,15,132
5/21/20,469,16,137
5/22/20,469,16,137
5/23/20,487,16,147
5/24/20,487,16,147
5/25/20,487,16,147
5/26/20,487,16,147
5/27/20,571,19,161
5/28/20,571,19,161
5/29/20,571,19,161
5/30/20,571,19,161
5/31/20,611,20,179
6/1/20,611,20,179
6/2/20,611,20,179
6/3/20,611,20,179
6/4/20,611,20,179
6/5/20,635,20,182
6/6/20,683,22,210
6/7/20,683,22,210
6/8/20,683,22,210
6/9/20,728,24,221
6/10/20,728,24,221
6/11/20,728,24,221
6/12/20,728,24,221
6/13/20,728,24,221
6/14/20,728,24,221
6/15/20,883,27,391
6/16/20,883,27,391
6/17/20,883,27,391
