Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,1,0,0
3/12/20,1,0,0
3/13/20,2,0,0
3/14/20,2,0,0
3/15/20,2,0,0
3/16/20,2,0,0
3/17/20,3,0,0
3/18/20,4,0,0
3/19/20,14,0,0
3/20/20,18,0,0
3/21/20,23,1,0
3/22/20,30,1,0
3/23/20,36,1,0
3/24/20,45,2,0
3/25/20,48,2,0
3/26/20,51,3,0
3/27/20,51,3,2
3/28/20,65,6,2
3/29/20,65,6,2
3/30/20,81,8,2
3/31/20,98,8,2
4/1/20,109,9,3
4/2/20,134,13,3
4/3/20,134,13,3
4/4/20,154,18,3
4/5/20,154,18,3
4/6/20,161,18,5
4/7/20,180,18,9
4/8/20,180,18,9
4/9/20,180,18,9
4/10/20,215,20,13
4/11/20,223,20,16
4/12/20,234,20,16
4/13/20,235,20,17
4/14/20,241,20,20
4/15/20,254,21,21
4/16/20,267,22,23
4/17/20,287,23,25
4/18/20,307,25,26
4/19/20,327,25,26
4/20/20,332,25,27
4/21/20,350,25,35
4/22/20,359,25,45
4/23/20,377,25,47
4/24/20,394,25,48
4/25/20,416,28,49
4/26/20,442,28,50
4/27/20,459,28,50
4/28/20,471,30,56
4/29/20,491,30,59
4/30/20,572,31,73
5/1/20,604,32,75
5/2/20,674,33,75
5/3/20,674,33,75
5/4/20,682,34,80
5/5/20,705,34,90
5/6/20,797,35,92
5/7/20,863,36,103
5/8/20,937,39,130
5/9/20,937,39,130
5/10/20,991,41,136
5/11/20,1024,41,141
5/12/20,1102,44,146
5/13/20,1169,50,148
5/14/20,1242,50,157
5/15/20,1298,50,212
5/16/20,1455,61,270
5/17/20,1455,61,270
5/18/20,1538,61,272
5/19/20,1629,61,290
5/20/20,1731,61,302
5/21/20,1835,61,303
5/22/20,1945,63,312
5/23/20,2025,63,312
5/24/20,2141,63,317
5/25/20,2297,67,337
5/26/20,2403,68,340
5/27/20,2546,68,365
5/28/20,2660,69,381
5/29/20,2833,69,400
5/30/20,2966,69,428
5/31/20,3070,72,448
6/1/20,3195,72,454
6/2/20,3326,72,482
6/3/20,3495,75,492
6/4/20,3644,78,495
6/5/20,3764,81,512
6/6/20,3878,82,537
6/7/20,4016,85,537
6/8/20,4106,88,537
6/9/20,4259,90,539
6/10/20,4390,96,565
6/11/20,4515,98,567
6/12/20,4637,101,580
6/13/20,4724,106,595
6/14/20,4778,107,600
6/15/20,4837,112,613
6/16/20,4974,112,628
6/17/20,5100,115,640
