Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,5,0,0
3/9/20,9,0,0
3/10/20,9,0,0
3/11/20,13,0,0
3/12/20,22,0,0
3/13/20,23,0,0
3/14/20,26,0,0
3/15/20,27,0,0
3/16/20,35,0,0
3/17/20,41,0,0
3/18/20,50,0,0
3/19/20,69,1,0
3/20/20,89,1,0
3/21/20,117,2,2
3/22/20,134,2,2
3/23/20,158,2,2
3/24/20,177,2,2
3/25/20,201,2,2
3/26/20,231,2,2
3/27/20,263,2,3
3/28/20,295,2,3
3/29/20,314,2,3
3/30/20,330,2,4
3/31/20,347,2,4
4/1/20,375,2,4
4/2/20,396,2,6
4/3/20,416,2,11
4/4/20,435,2,13
4/5/20,454,2,16
4/6/20,467,2,18
4/7/20,483,2,24
4/8/20,502,3,29
4/9/20,539,3,30
4/10/20,558,3,42
4/11/20,577,3,49
4/12/20,595,3,56
4/13/20,612,3,62
4/14/20,618,3,66
4/15/20,626,4,67
4/16/20,642,4,74
4/17/20,649,4,88
4/18/20,655,4,97
4/19/20,660,5,112
4/20/20,662,6,124
4/21/20,669,6,150
4/22/20,681,6,180
4/23/20,686,6,196
4/24/20,687,6,216
4/25/20,693,6,242
4/26/20,695,6,264
4/27/20,697,6,287
4/28/20,705,6,306
4/29/20,713,6,323
4/30/20,719,6,338
5/1/20,725,6,355
5/2/20,733,6,372
5/3/20,739,6,386
5/4/20,742,6,399
5/5/20,755,6,413
5/6/20,761,6,428
5/7/20,765,6,445
5/8/20,773,6,461
5/9/20,780,6,480
5/10/20,792,7,501
5/11/20,801,7,517
5/12/20,804,7,520
5/13/20,815,8,527
5/14/20,830,8,535
5/15/20,843,9,542
5/16/20,853,10,551
5/17/20,863,10,565
5/18/20,866,10,575
5/19/20,882,10,577
5/20/20,897,10,582
5/21/20,903,10,592
5/22/20,911,10,600
5/23/20,918,10,607
5/24/20,930,10,620
5/25/20,951,10,628
5/26/20,956,10,634
5/27/20,984,10,639
5/28/20,1000,10,646
5/29/20,1022,10,653
5/30/20,1047,10,658
5/31/20,1056,10,669
6/1/20,1084,10,676
6/2/20,1105,10,682
6/3/20,1157,10,685
6/4/20,1194,10,687
6/5/20,1228,10,695
6/6/20,1263,10,701
6/7/20,1318,10,704
6/8/20,1342,11,712
6/9/20,1375,11,717
6/10/20,1461,12,722
6/11/20,1538,12,722
6/12/20,1612,12,731
6/13/20,1662,12,743
6/14/20,1715,12,752
6/15/20,1744,12,771
6/16/20,1796,12,794
6/17/20,1871,12,899
