Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,1,0,0
3/12/20,1,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,5,0,1
3/18/20,6,0,1
3/19/20,9,0,1
3/20/20,9,0,1
3/21/20,14,0,1
3/22/20,14,0,1
3/23/20,25,0,1
3/24/20,73,0,2
3/25/20,80,0,3
3/26/20,96,0,3
3/27/20,101,0,3
3/28/20,101,0,3
3/29/20,165,1,4
3/30/20,168,1,6
3/31/20,179,1,7
4/1/20,190,1,9
4/2/20,194,1,15
4/3/20,218,1,19
4/4/20,245,1,25
4/5/20,261,3,37
4/6/20,323,3,41
4/7/20,349,3,41
4/8/20,384,3,48
4/9/20,444,3,52
4/10/20,444,3,52
4/11/20,533,4,58
4/12/20,574,5,85
4/13/20,626,6,89
4/14/20,638,6,114
4/15/20,638,6,114
4/16/20,654,6,146
4/17/20,688,6,193
4/18/20,801,8,239
4/19/20,847,9,260
4/20/20,847,9,260
4/21/20,916,13,303
4/22/20,952,14,310
4/23/20,1004,14,359
4/24/20,1077,14,419
4/25/20,1077,14,419
4/26/20,1150,14,468
4/27/20,1164,14,499
4/28/20,1183,14,525
4/29/20,1238,14,557
4/30/20,1275,14,574
5/1/20,1333,15,597
5/2/20,1362,15,622
5/3/20,1398,17,653
5/4/20,1432,17,693
5/5/20,1464,18,701
5/6/20,1516,18,721
5/7/20,1571,20,742
5/8/20,1602,20,754
5/9/20,1667,21,769
5/10/20,1700,21,794
5/11/20,1730,21,818
5/12/20,1857,21,820
5/13/20,1912,24,902
5/14/20,1971,24,930
5/15/20,2017,24,942
5/16/20,2061,25,987
5/17/20,2109,27,1004
5/18/20,2119,28,1040
5/19/20,2153,28,1050
5/20/20,2231,29,1083
5/21/20,2301,29,1100
5/22/20,2341,29,1146
5/23/20,2366,30,1188
5/24/20,2376,30,1219
5/25/20,2423,30,1257
5/26/20,2477,30,1286
5/27/20,2556,31,1302
5/28/20,2641,32,1326
5/29/20,2750,32,1370
5/30/20,2799,33,1385
5/31/20,2833,33,1435
6/1/20,2951,33,1467
6/2/20,3024,33,1501
6/3/20,3110,35,1530
6/4/20,3262,35,1584
6/5/20,3431,36,1604
6/6/20,3557,36,1750
6/7/20,3739,36,1818
6/8/20,3881,38,1869
6/9/20,3995,38,2045
6/10/20,4181,41,2174
6/11/20,4404,41,2212
6/12/20,4684,45,2263
6/13/20,4848,45,2397
6/14/20,5084,45,2505
6/15/20,5439,46,2590
6/16/20,5679,46,2637
6/17/20,6063,48,2749
