Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,1,0,0
2/26/20,3,0,0
2/27/20,3,0,0
2/28/20,5,0,0
2/29/20,6,0,0
3/1/20,7,0,0
3/2/20,7,0,0
3/3/20,9,0,0
3/4/20,10,0,0
3/5/20,10,0,0
3/6/20,11,0,0
3/7/20,12,0,0
3/8/20,12,0,0
3/9/20,12,0,0
3/10/20,14,0,0
3/11/20,19,0,0
3/12/20,19,0,0
3/13/20,32,0,1
3/14/20,38,0,1
3/15/20,49,0,1
3/16/20,57,0,2
3/17/20,65,0,4
3/18/20,81,0,4
3/19/20,105,1,5
3/20/20,128,1,5
3/21/20,206,1,5
3/22/20,254,1,5
3/23/20,315,1,5
3/24/20,382,1,5
3/25/20,442,1,22
3/26/20,495,3,22
3/27/20,586,3,37
3/28/20,657,5,45
3/29/20,713,6,52
3/30/20,790,6,67
3/31/20,867,6,67
4/1/20,963,6,73
4/2/20,1011,7,88
4/3/20,1079,8,92
4/4/20,1126,12,119
4/5/20,1182,15,125
4/6/20,1222,16,130
4/7/20,1282,18,167
4/8/20,1343,19,179
4/9/20,1407,20,219
4/10/20,1495,21,231
4/11/20,1534,21,323
4/12/20,1600,23,373
4/13/20,1650,25,400
4/14/20,1704,31,415
4/15/20,1741,33,473
4/16/20,1791,35,529
4/17/20,1814,36,600
4/18/20,1832,39,615
4/19/20,1871,47,709
4/20/20,1881,47,771
4/21/20,1908,48,801
4/22/20,1950,48,869
4/23/20,1981,50,883
4/24/20,2009,51,982
4/25/20,2016,54,1034
4/26/20,2030,55,1103
4/27/20,2039,59,1166
4/28/20,2047,63,1232
4/29/20,2062,67,1288
4/30/20,2076,69,1348
5/1/20,2085,75,1421
5/2/20,2088,77,1463
5/3/20,2096,79,1489
5/4/20,2101,80,1522
5/5/20,2112,83,1560
5/6/20,2119,85,1601
5/7/20,2125,86,1641
5/8/20,2161,86,1689
5/9/20,2176,87,1726
5/10/20,2187,90,1764
5/11/20,2196,91,1784
5/12/20,2207,91,1808
5/13/20,2213,94,1834
5/14/20,2221,94,1850
5/15/20,2222,95,1869
5/16/20,2224,95,1913
5/17/20,2226,95,1936
5/18/20,2228,95,1946
5/19/20,2232,96,1967
5/20/20,2234,96,1978
5/21/20,2237,97,1978
5/22/20,2243,99,2011
5/23/20,2243,99,2023
5/24/20,2244,99,2027
5/25/20,2244,100,2035
5/26/20,2244,101,2046
5/27/20,2244,101,2047
5/28/20,2245,102,2051
5/29/20,2245,103,2059
5/30/20,2246,103,2063
5/31/20,2246,103,2072
6/1/20,2246,103,2077
6/2/20,2246,103,2088
6/3/20,2246,103,2095
6/4/20,2247,103,2105
6/5/20,2247,103,2113
6/6/20,2247,104,2121
6/7/20,2247,104,2126
6/8/20,2247,104,2128
6/9/20,2247,106,2130
6/10/20,2249,106,2130
6/11/20,2249,106,2132
6/12/20,2249,107,2133
6/13/20,2251,107,2134
6/14/20,2252,107,2134
6/15/20,2254,107,2140
6/16/20,2255,107,2140
6/17/20,2258,107,2141
