Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,3,0,0
3/13/20,4,0,0
3/14/20,4,0,0
3/15/20,4,0,0
3/16/20,4,0,0
3/17/20,5,0,0
3/18/20,7,1,0
3/19/20,11,1,0
3/20/20,16,1,0
3/21/20,21,1,0
3/22/20,35,1,0
3/23/20,40,1,0
3/24/20,48,1,1
3/25/20,57,1,1
3/26/20,67,2,1
3/27/20,80,2,4
3/28/20,119,3,4
3/29/20,139,3,4
3/30/20,170,4,4
3/31/20,186,6,8
4/1/20,212,6,12
4/2/20,233,6,13
4/3/20,269,6,15
4/4/20,288,6,15
4/5/20,320,8,15
4/6/20,350,9,18
4/7/20,396,11,27
4/8/20,457,12,27
4/9/20,515,15,28
4/10/20,564,15,51
4/11/20,620,16,77
4/12/20,669,18,92
4/13/20,726,21,121
4/14/20,766,21,132
4/15/20,814,24,151
4/16/20,862,27,171
4/17/20,923,31,192
4/18/20,986,32,227
4/19/20,1035,34,255
4/20/20,1087,36,285
4/21/20,1137,38,309
4/22/20,1189,40,341
4/23/20,1235,43,365
4/24/20,1285,49,416
4/25/20,1337,51,437
4/26/20,1369,54,501
4/27/20,1389,56,525
4/28/20,1437,58,575
4/29/20,1467,58,617
4/30/20,1501,61,681
5/1/20,1537,64,714
5/2/20,1611,66,765
5/3/20,1649,67,827
5/4/20,1668,69,876
5/5/20,1685,69,954
5/6/20,1703,69,1001
5/7/20,1729,73,1031
5/8/20,1741,74,1078
5/9/20,1754,74,1140
5/10/20,1766,77,1193
5/11/20,1783,77,1229
5/12/20,1804,78,1277
5/13/20,1810,79,1326
5/14/20,1830,79,1383
5/15/20,1840,79,1425
5/16/20,1862,79,1460
5/17/20,1872,79,1495
5/18/20,1881,79,1505
5/19/20,1887,79,1538
5/20/20,1900,79,1573
5/21/20,1908,80,1603
5/22/20,1916,81,1631
5/23/20,1931,81,1671
5/24/20,1941,82,1689
5/25/20,1947,82,1704
5/26/20,1963,82,1709
5/27/20,1974,82,1724
5/28/20,1983,82,1734
5/29/20,2005,82,1760
5/30/20,2025,83,1795
5/31/20,2045,83,1809
6/1/20,2083,83,1826
6/2/20,2092,83,1827
6/3/20,2107,83,1830
6/4/20,2119,83,1839
6/5/20,2133,83,1848
6/6/20,2173,83,1855
6/7/20,2191,83,1862
6/8/20,2200,83,1868
6/9/20,2205,83,1880
6/10/20,2211,83,1886
6/11/20,2219,84,1893
6/12/20,2233,84,1902
6/13/20,2238,84,1923
6/14/20,2248,84,1948
6/15/20,2262,84,1965
6/16/20,2273,84,1994
6/17/20,2280,84,1999
