Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,2,0,0
3/10/20,3,0,0
3/11/20,6,0,0
3/12/20,6,0,0
3/13/20,14,0,0
3/14/20,26,0,0
3/15/20,26,0,0
3/16/20,33,0,0
3/17/20,46,0,0
3/18/20,49,0,0
3/19/20,67,0,0
3/20/20,67,0,0
3/21/20,84,0,0
3/22/20,95,1,3
3/23/20,116,1,3
3/24/20,124,3,3
3/25/20,132,3,3
3/26/20,146,3,4
3/27/20,162,5,15
3/28/20,179,5,15
3/29/20,214,5,15
3/30/20,230,7,22
3/31/20,262,8,23
4/1/20,320,9,28
4/2/20,356,10,28
4/3/20,396,11,28
4/4/20,426,11,33
4/5/20,446,9,37
4/6/20,465,9,45
4/7/20,494,9,47
4/8/20,526,9,52
4/9/20,564,10,53
4/10/20,595,10,58
4/11/20,616,10,61
4/12/20,633,11,65
4/13/20,662,12,65
4/14/20,695,12,65
4/15/20,715,12,65
4/16/20,735,12,77
4/17/20,750,12,77
4/18/20,761,12,79
4/19/20,767,12,81
4/20/20,772,12,81
4/21/20,784,12,98
4/22/20,790,13,98
4/23/20,795,13,98
4/24/20,804,14,98
4/25/20,810,14,148
4/26/20,817,14,148
4/27/20,822,15,148
4/28/20,837,15,148
4/29/20,843,15,148
4/30/20,850,15,296
5/1/20,857,15,296
5/2/20,864,15,296
5/3/20,872,15,296
5/4/20,874,15,296
5/5/20,878,15,296
5/6/20,883,15,296
5/7/20,889,15,400
5/8/20,891,15,400
5/9/20,892,15,401
5/10/20,898,16,401
5/11/20,901,16,401
5/12/20,903,16,449
5/13/20,905,17,449
5/14/20,907,17,481
5/15/20,910,17,481
5/16/20,914,17,515
5/17/20,916,17,515
5/18/20,917,17,515
5/19/20,918,17,515
5/20/20,922,17,516
5/21/20,923,17,561
5/22/20,927,17,561
5/23/20,927,17,594
5/24/20,935,17,594
5/25/20,937,17,594
5/26/20,939,17,594
5/27/20,939,17,594
5/28/20,941,17,784
5/29/20,942,17,784
5/30/20,944,17,790
5/31/20,944,17,790
6/1/20,949,17,790
6/2/20,952,17,790
6/3/20,958,17,790
6/4/20,958,17,790
6/5/20,960,17,807
6/6/20,960,18,807
6/7/20,964,18,807
6/8/20,970,18,807
6/9/20,972,18,807
6/10/20,974,18,807
6/11/20,975,18,807
6/12/20,980,18,807
6/13/20,980,18,807
6/14/20,983,18,807
6/15/20,985,18,807
6/16/20,985,18,816
6/17/20,985,18,816
