Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,3,0,0
3/2/20,3,0,0
3/3/20,5,0,0
3/4/20,8,0,0
3/5/20,12,0,0
3/6/20,18,0,0
3/7/20,19,0,0
3/8/20,31,0,0
3/9/20,31,0,0
3/10/20,41,0,0
3/11/20,91,0,0
3/12/20,94,0,0
3/13/20,141,0,0
3/14/20,189,0,0
3/15/20,253,0,0
3/16/20,298,0,3
3/17/20,396,0,3
3/18/20,464,0,3
3/19/20,694,0,3
3/20/20,833,0,4
3/21/20,995,0,6
3/22/20,1120,1,6
3/23/20,1236,1,6
3/24/20,1394,3,10
3/25/20,1654,6,10
3/26/20,1925,9,10
3/27/20,2279,9,11
3/28/20,2631,11,11
3/29/20,2817,16,11
3/30/20,3001,23,25
3/31/20,3308,31,45
4/1/20,3508,39,61
4/2/20,3858,44,67
4/3/20,4091,53,72
4/4/20,4472,59,78
4/5/20,4587,67,96
4/6/20,4822,78,121
4/7/20,5017,88,172
4/8/20,5312,99,233
4/9/20,5569,112,301
4/10/20,5732,119,346
4/11/20,5831,129,411
4/12/20,5991,138,464
4/13/20,6059,143,519
4/14/20,6111,161,642
4/15/20,6216,166,819
4/16/20,6433,169,972
4/17/20,6549,173,1174
4/18/20,6606,181,1227
4/19/20,6746,186,1298
4/20/20,6900,194,1559
4/21/20,7033,201,1753
4/22/20,7132,208,1989
4/23/20,7187,210,2152
4/24/20,7273,214,2371
4/25/20,7352,218,2453
4/26/20,7404,220,2545
4/27/20,7445,223,2826
4/28/20,7504,227,2948
4/29/20,7579,227,3108
4/30/20,7682,236,3314
5/1/20,7737,240,3372
5/2/20,7755,245,3461
5/3/20,7781,248,3587
5/4/20,7819,252,3807
5/5/20,7896,257,4006
5/6/20,7974,262,4205
5/7/20,8031,270,4371
5/8/20,8077,273,4413
5/9/20,8095,276,4447
5/10/20,8123,280,4474
5/11/20,8176,282,4711
5/12/20,8221,283,4889
5/13/20,8269,290,5047
5/14/20,8351,293,5241
5/15/20,8406,295,5381
5/16/20,8455,296,5422
5/17/20,8475,298,5462
5/18/20,8586,297,5641
5/19/20,8647,302,5726
5/20/20,8721,304,5830
5/21/20,8754,306,5926
5/22/20,8813,312,6025
5/23/20,8890,314,6044
5/24/20,8955,315,6078
5/25/20,9002,317,6182
5/26/20,9050,317,6270
5/27/20,9086,317,6370
5/28/20,9140,319,6460
5/29/20,9196,319,6500
5/30/20,9230,319,6546
5/31/20,9268,320,6558
6/1/20,9302,321,6642
6/2/20,9364,323,6686
6/3/20,9438,325,6749
6/4/20,9494,326,6809
6/5/20,9529,327,6881
6/6/20,9567,327,6885
6/7/20,9628,327,6891
6/8/20,9697,328,6994
6/9/20,9751,328,7053
6/10/20,9824,330,7111
6/11/20,9855,328,7166
6/12/20,9938,329,7215
6/13/20,9991,328,7219
6/14/20,10024,329,7226
6/15/20,10064,330,7296
6/16/20,10111,331,7358
6/17/20,10162,333,7399
