Date,Confirmed,Deaths,Recovered
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,1,0,0
2/28/20,1,0,0
2/29/20,3,0,0
3/1/20,4,0,0
3/2/20,4,0,0
3/3/20,6,0,0
3/4/20,11,0,0
3/5/20,11,0,0
3/6/20,24,0,1
3/7/20,24,0,1
3/8/20,37,0,1
3/9/20,92,0,1
3/10/20,264,0,1
3/11/20,444,0,1
3/12/20,617,0,1
3/13/20,804,0,1
3/14/20,836,1,1
3/15/20,875,2,1
3/16/20,933,3,1
3/17/20,1025,4,1
3/18/20,1116,4,1
3/19/20,1225,6,1
3/20/20,1337,9,1
3/21/20,1420,13,1
3/22/20,1514,13,1
3/23/20,1572,24,1
3/24/20,1718,32,36
3/25/20,1862,34,41
3/26/20,2023,41,50
3/27/20,2200,52,57
3/28/20,2366,65,57
3/29/20,2564,72,73
3/30/20,2755,77,73
3/31/20,3039,90,77
4/1/20,3290,104,971
4/2/20,3573,123,1172
4/3/20,3946,139,1287
4/4/20,4269,161,1379
4/5/20,4561,179,1429
4/6/20,4875,187,1489
4/7/20,5266,203,1621
4/8/20,5597,218,1763
4/9/20,5830,237,1883
4/10/20,6014,247,1929
4/11/20,6191,260,2111
4/12/20,6369,273,2291
4/13/20,6513,285,2403
4/14/20,6706,299,2689
4/15/20,6876,309,2925
4/16/20,7074,321,3203
4/17/20,7268,336,3571
4/18/20,7437,346,4031
4/19/20,7580,355,4328
4/20/20,7711,364,4499
4/21/20,7891,370,4889
4/22/20,8108,384,5276
4/23/20,8271,394,5573
4/24/20,8408,403,5715
4/25/20,8643,418,5858
4/26/20,8773,422,5994
4/27/20,8896,427,6148
4/28/20,9049,434,6313
4/29/20,9206,443,6558
4/30/20,9356,452,6741
5/1/20,9509,460,6924
5/2/20,9605,475,7084
5/3/20,9721,484,7183
5/4/20,9868,493,7284
5/5/20,10019,503,7492
5/6/20,10136,506,7689
5/7/20,10281,514,7907
5/8/20,10416,522,8125
5/9/20,10517,526,8291
5/10/20,10627,529,8415
5/11/20,10711,533,8526
5/12/20,10789,527,8778
5/13/20,10865,533,8861
5/14/20,10911,537,9003
5/15/20,10989,537,9157
5/16/20,11056,543,9305
5/17/20,11125,547,9425
5/18/20,11166,548,9499
5/19/20,11242,551,9614
5/20/20,11315,554,9734
5/21/20,11380,561,9841
5/22/20,11428,561,9962
5/23/20,11487,561,10034
5/24/20,11559,562,10098
5/25/20,11586,563,10162
5/26/20,11627,563,10242
5/27/20,11680,565,10304
5/28/20,11712,568,10378
5/29/20,11793,568,10438
5/30/20,11833,571,10525
5/31/20,11869,574,10560
6/1/20,11899,576,10610
6/2/20,11934,580,10687
6/3/20,11971,580,10750
6/4/20,12011,582,10820
6/5/20,12075,586,10853
6/6/20,12124,587,10921
6/7/20,12148,589,10955
6/8/20,12162,593,10992
6/9/20,12201,593,11049
6/10/20,12216,593,11104
6/11/20,12235,593,11155
6/12/20,12299,594,11193
6/13/20,12339,597,11235
6/14/20,12393,597,11268
6/15/20,12417,598,11290
6/16/20,12450,598,11325
6/17/20,12494,598,11385
