Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,2,0,0
3/9/20,2,0,0
3/10/20,2,0,0
3/11/20,2,0,0
3/12/20,2,0,0
3/13/20,3,0,0
3/14/20,9,0,0
3/15/20,11,0,0
3/16/20,18,0,0
3/17/20,47,0,0
3/18/20,58,0,0
3/19/20,72,0,0
3/20/20,80,0,0
3/21/20,92,0,0
3/22/20,115,0,0
3/23/20,118,0,0
3/24/20,122,0,33
3/25/20,132,0,38
3/26/20,140,0,47
3/27/20,144,0,54
3/28/20,155,0,54
3/29/20,159,0,70
3/30/20,168,0,70
3/31/20,169,0,74
4/1/20,173,0,75
4/2/20,177,0,81
4/3/20,179,0,91
4/4/20,181,0,93
4/5/20,181,0,99
4/6/20,183,0,107
4/7/20,184,0,120
4/8/20,184,0,131
4/9/20,184,0,136
4/10/20,184,0,145
4/11/20,184,0,145
4/12/20,184,0,157
4/13/20,184,0,157
4/14/20,184,0,163
4/15/20,184,0,166
4/16/20,184,0,169
4/17/20,184,0,171
4/18/20,184,0,173
4/19/20,185,0,176
4/20/20,185,0,176
4/21/20,185,0,178
4/22/20,185,0,178
4/23/20,187,0,178
4/24/20,187,0,178
4/25/20,187,0,178
4/26/20,187,0,178
4/27/20,187,0,178
4/28/20,187,0,181
4/29/20,187,0,181
4/30/20,187,0,184
5/1/20,187,0,184
5/2/20,187,0,184
5/3/20,187,0,185
5/4/20,187,0,185
5/5/20,187,0,185
5/6/20,187,0,185
5/7/20,187,0,185
5/8/20,187,0,187
5/9/20,187,0,187
5/10/20,187,0,187
5/11/20,187,0,187
5/12/20,187,0,187
5/13/20,187,0,187
5/14/20,187,0,187
5/15/20,187,0,187
5/16/20,187,0,187
5/17/20,187,0,187
5/18/20,187,0,187
5/19/20,187,0,187
5/20/20,187,0,187
5/21/20,187,0,187
5/22/20,187,0,187
5/23/20,187,0,187
5/24/20,187,0,187
5/25/20,187,0,187
5/26/20,187,0,187
5/27/20,187,0,187
5/28/20,187,0,187
5/29/20,187,0,187
5/30/20,187,0,187
5/31/20,187,0,187
6/1/20,187,0,187
6/2/20,187,0,187
6/3/20,187,0,187
6/4/20,187,0,187
6/5/20,187,0,187
6/6/20,187,0,187
6/7/20,187,0,187
6/8/20,187,0,187
6/9/20,187,0,187
6/10/20,187,0,187
6/11/20,187,0,187
6/12/20,187,0,187
6/13/20,187,0,187
6/14/20,187,0,187
6/15/20,187,0,187
6/16/20,187,0,187
6/17/20,187,0,187
