Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,61,0,0
2/8/20,61,0,0
2/9/20,64,0,0
2/10/20,135,0,0
2/11/20,135,0,0
2/12/20,175,0,0
2/13/20,175,0,0
2/14/20,218,0,0
2/15/20,285,0,0
2/16/20,355,0,0
2/17/20,454,0,0
2/18/20,542,0,0
2/19/20,621,0,1
2/20/20,634,2,1
2/21/20,634,2,1
2/22/20,634,2,1
2/23/20,691,3,0
2/24/20,691,3,0
2/25/20,691,3,0
2/26/20,705,4,10
2/27/20,705,4,10
2/28/20,705,6,10
2/29/20,705,6,10
3/1/20,705,6,10
3/2/20,705,6,10
3/3/20,706,6,10
3/4/20,706,6,10
3/5/20,706,6,10
3/6/20,706,6,40
3/7/20,706,6,40
3/8/20,706,6,40
3/9/20,706,6,40
3/10/20,706,6,40
3/11/20,706,7,325
3/12/20,706,7,325
3/13/20,706,7,325
3/14/20,706,7,325
3/15/20,706,7,325
3/16/20,706,7,325
3/17/20,706,7,325
3/18/20,712,7,325
3/19/20,712,7,325
3/20/20,712,7,325
3/21/20,712,8,325
3/22/20,712,8,325
3/23/20,712,8,325
3/24/20,712,10,325
3/25/20,712,10,587
3/26/20,712,10,597
3/27/20,712,10,597
3/28/20,712,10,597
3/29/20,712,10,603
3/30/20,712,10,603
3/31/20,712,10,603
4/1/20,712,11,603
4/2/20,712,11,619
4/3/20,712,11,619
4/4/20,712,11,619
4/5/20,712,11,619
4/6/20,712,11,619
4/7/20,712,11,619
4/8/20,712,11,619
4/9/20,712,11,619
4/10/20,712,11,619
4/11/20,712,11,619
4/12/20,712,11,619
4/13/20,712,11,619
4/14/20,712,12,639
4/15/20,712,12,639
4/16/20,712,12,644
4/17/20,712,13,644
4/18/20,712,13,644
4/19/20,712,13,644
4/20/20,712,13,644
4/21/20,712,13,644
4/22/20,712,13,644
4/23/20,712,13,645
4/24/20,712,13,645
4/25/20,712,13,645
4/26/20,712,13,645
4/27/20,712,13,645
4/28/20,712,13,645
4/29/20,712,13,645
4/30/20,712,13,645
5/1/20,712,13,645
5/2/20,712,13,645
5/3/20,712,13,645
5/4/20,712,13,645
5/5/20,712,13,645
5/6/20,712,13,645
5/7/20,712,13,645
5/8/20,712,13,645
5/9/20,712,13,645
5/10/20,712,13,651
5/11/20,712,13,651
5/12/20,712,13,651
5/13/20,712,13,651
5/14/20,712,13,651
5/15/20,712,13,651
5/16/20,712,13,651
5/17/20,712,13,651
5/18/20,712,13,651
5/19/20,712,13,651
5/20/20,712,13,651
5/21/20,712,13,651
5/22/20,712,13,651
5/23/20,712,13,651
5/24/20,712,13,651
5/25/20,712,13,651
5/26/20,712,13,651
5/27/20,712,13,651
5/28/20,712,13,651
5/29/20,712,13,651
5/30/20,712,13,651
5/31/20,712,13,651
6/1/20,712,13,651
6/2/20,712,13,651
6/3/20,712,13,651
6/4/20,712,13,651
6/5/20,712,13,651
6/6/20,712,13,651
6/7/20,712,13,651
6/8/20,712,13,651
6/9/20,712,13,651
6/10/20,712,13,651
6/11/20,712,13,651
6/12/20,712,13,651
6/13/20,712,13,651
6/14/20,712,13,651
6/15/20,712,13,651
6/16/20,712,13,651
6/17/20,712,13,651
