Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,1,0,0
3/19/20,1,0,0
3/20/20,1,0,0
3/21/20,1,0,0
3/22/20,1,0,0
3/23/20,3,0,0
3/24/20,3,0,0
3/25/20,11,0,0
3/26/20,11,0,0
3/27/20,12,0,0
3/28/20,14,0,0
3/29/20,18,0,0
3/30/20,18,0,0
3/31/20,30,0,0
4/1/20,33,0,0
4/2/20,40,0,0
4/3/20,49,0,8
4/4/20,50,0,8
4/5/20,59,0,9
4/6/20,90,0,9
4/7/20,90,0,9
4/8/20,135,0,25
4/9/20,135,0,25
4/10/20,150,1,36
4/11/20,187,2,36
4/12/20,214,2,36
4/13/20,298,2,41
4/14/20,363,2,53
4/15/20,435,2,71
4/16/20,591,2,73
4/17/20,732,2,76
4/18/20,732,2,76
4/19/20,846,2,102
4/20/20,846,2,102
4/21/20,945,2,112
4/22/20,974,2,183
4/23/20,986,2,252
4/24/20,999,2,330
4/25/20,1008,2,373
4/26/20,1023,2,411
4/27/20,1035,2,477
4/28/20,1072,2,498
4/29/20,1077,2,599
4/30/20,1089,2,642
5/1/20,1097,2,672
5/2/20,1112,2,686
5/3/20,1112,2,686
5/4/20,1116,2,713
5/5/20,1120,2,745
5/6/20,1124,3,755
5/7/20,1133,3,799
5/8/20,1135,3,824
5/9/20,1189,3,834
5/10/20,1210,3,847
5/11/20,1227,3,872
5/12/20,1256,3,886
5/13/20,1268,3,900
5/14/20,1284,3,905
5/15/20,1309,4,935
5/16/20,1331,4,950
5/17/20,1401,4,972
5/18/20,1518,7,1018
5/19/20,1618,7,1033
5/20/20,1828,9,1052
5/21/20,2047,10,1055
5/22/20,2270,10,1064
5/23/20,2270,10,1064
5/24/20,2270,10,1064
5/25/20,2468,14,1079
5/26/20,2468,14,1079
5/27/20,2697,18,1185
5/28/20,2914,20,1241
5/29/20,2914,20,1241
5/30/20,3194,22,1286
5/31/20,3354,24,1504
6/1/20,3569,24,1521
6/2/20,3779,25,1607
6/3/20,3935,26,1636
6/4/20,4054,26,1685
6/5/20,4123,26,1707
6/6/20,4169,26,1815
6/7/20,4207,28,1877
6/8/20,4278,31,2013
6/9/20,4331,34,2139
6/10/20,4373,34,2260
6/11/20,4398,37,2519
6/12/20,4441,38,2730
6/13/20,4449,41,2823
6/14/20,4465,43,2950
6/15/20,4501,43,3183
6/16/20,4539,43,3324
6/17/20,4545,43,3411
