Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,1,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,2,0,0
3/7/20,2,0,0
3/8/20,5,0,0
3/9/20,5,0,0
3/10/20,5,0,0
3/11/20,5,0,0
3/12/20,5,0,0
3/13/20,5,0,0
3/14/20,11,0,0
3/15/20,11,0,0
3/16/20,11,0,0
3/17/20,21,1,0
3/18/20,21,1,0
3/19/20,34,2,0
3/20/20,72,2,0
3/21/20,112,2,0
3/22/20,202,3,0
3/23/20,245,3,0
3/24/20,312,6,3
3/25/20,392,10,3
3/26/20,488,10,3
3/27/20,581,20,3
3/28/20,719,28,3
3/29/20,859,39,3
3/30/20,901,42,4
3/31/20,1109,51,5
4/1/20,1284,57,9
4/2/20,1380,60,16
4/3/20,1488,68,16
4/4/20,1488,68,16
4/5/20,1745,82,17
4/6/20,1828,86,33
4/7/20,1956,98,36
4/8/20,2111,108,50
4/9/20,2349,118,80
4/10/20,2620,126,98
4/11/20,2759,135,108
4/12/20,2967,173,131
4/13/20,3167,177,152
4/14/20,3286,183,162
4/15/20,3614,189,208
4/16/20,3755,196,215
4/17/20,4126,200,268
4/18/20,4335,217,312
4/19/20,4680,226,363
4/20/20,4964,235,416
4/21/20,5044,245,463
4/22/20,5300,260,581
4/23/20,5543,265,581
4/24/20,5749,267,763
4/25/20,5926,273,822
4/26/20,6135,278,910
4/27/20,6293,282,993
4/28/20,6416,286,1165
4/29/20,6652,293,1228
4/30/20,6972,301,1301
5/1/20,7288,313,1387
5/2/20,7578,326,1481
5/3/20,7954,333,1606
5/4/20,8235,346,1771
5/5/20,8480,354,1905
5/6/20,8807,362,1960
5/7/20,9095,373,2064
5/8/20,9376,380,2286
5/9/20,9882,385,2584
5/10/20,10347,388,2763
5/11/20,10634,393,2870
5/12/20,10900,402,3221
5/13/20,11196,409,3221
5/14/20,11320,422,3351
5/15/20,11739,424,3557
5/16/20,12110,428,3726
5/17/20,12314,428,5847
5/18/20,12725,434,6613
5/19/20,13223,441,6613
5/20/20,13477,446,7142
5/21/20,13657,448,7366
5/22/20,13989,456,7572
5/23/20,14422,458,7854
5/24/20,14801,458,8133
5/25/20,15073,460,8285
5/26/20,15264,468,8534
5/27/20,15723,474,8790
5/28/20,16068,485,8952
5/29/20,16531,488,9266
5/30/20,16908,498,9557
5/31/20,17285,502,10559
6/1/20,17572,502,10893
6/2/20,17752,515,11075
6/3/20,18040,516,11224
6/4/20,18319,520,11474
6/5/20,18708,525,11736
6/6/20,19195,536,11919
6/7/20,19600,538,12007
6/8/20,20126,539,12158
6/9/20,20415,544,12208
6/10/20,20808,550,12318
6/11/20,21437,561,12541
6/12/20,22008,568,12754
6/13/20,22572,577,13084
6/14/20,22962,592,13320
6/15/20,23271,605,14025
6/16/20,23686,615,14133
6/17/20,24105,633,14216
