Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,6,0,0
3/2/20,6,0,0
3/3/20,7,0,0
3/4/20,10,0,0
3/5/20,13,0,0
3/6/20,13,0,0
3/7/20,13,0,0
3/8/20,14,0,0
3/9/20,15,0,0
3/10/20,15,0,0
3/11/20,17,0,0
3/12/20,17,0,0
3/13/20,17,0,0
3/14/20,28,2,0
3/15/20,28,2,0
3/16/20,37,2,0
3/17/20,58,2,0
3/18/20,111,2,0
3/19/20,199,3,0
3/20/20,367,5,0
3/21/20,506,7,3
3/22/20,789,14,3
3/23/20,981,18,3
3/24/20,1082,27,3
3/25/20,1173,28,3
3/26/20,1403,34,3
3/27/20,1595,36,3
3/28/20,1823,48,3
3/29/20,1924,58,3
3/30/20,1962,60,3
3/31/20,2240,75,54
4/1/20,2748,93,58
4/2/20,3163,120,65
4/3/20,3368,145,65
4/4/20,3465,172,100
4/5/20,3646,180,100
4/6/20,3747,191,100
4/7/20,3747,191,100
4/8/20,4450,242,140
4/9/20,4965,272,339
4/10/20,7161,297,368
4/11/20,7257,315,411
4/12/20,7466,333,501
4/13/20,7529,355,597
4/14/20,7603,369,696
4/15/20,7858,388,780
4/16/20,8225,403,838
4/17/20,8450,421,838
4/18/20,9022,456,1008
4/19/20,9468,474,1061
4/20/20,10128,507,1150
4/21/20,10398,520,1207
4/22/20,10850,537,1262
4/23/20,11183,560,1328
4/24/20,22719,576,1366
4/25/20,22719,576,1366
4/26/20,22719,576,1366
4/27/20,23240,663,1557
4/28/20,24258,871,1557
4/29/20,24675,883,1557
4/30/20,24934,900,1558
5/1/20,26336,1063,1913
5/2/20,27464,1371,2132
5/3/20,29538,1564,3300
5/4/20,31881,1569,3433
5/5/20,31881,1569,3433
5/6/20,31881,1618,3433
5/7/20,30298,1654,3433
5/8/20,28818,1704,3433
5/9/20,29071,1717,3433
5/10/20,29559,2127,3433
5/11/20,29509,2145,3433
5/12/20,30419,2327,3433
5/13/20,30486,2334,3433
5/14/20,30502,2338,3433
5/15/20,31467,2594,3433
5/16/20,32763,2688,3433
5/17/20,33182,2736,3433
5/18/20,33582,2799,3433
5/19/20,34151,2839,3457
5/20/20,34854,2888,3557
5/21/20,35306,2939,3557
5/22/20,35828,3056,3557
5/23/20,36258,3096,3557
5/24/20,36756,3108,3560
5/25/20,37355,3203,18003
5/26/20,37355,3203,18003
5/27/20,38103,3275,18425
5/28/20,38471,3313,18425
5/29/20,38571,3334,19190
5/30/20,38571,3334,19190
5/31/20,39098,3358,19592
6/1/20,39098,3358,19592
6/2/20,40414,3438,20019
6/3/20,40966,3486,20019
6/4/20,40966,3486,20019
6/5/20,41575,3534,20568
6/6/20,42728,3608,21020
6/7/20,43120,3621,21020
6/8/20,43378,3642,21020
6/9/20,43917,3690,21020
6/10/20,44440,3720,21862
6/11/20,44440,3720,21862
6/12/20,45778,3828,22679
6/13/20,46356,3874,22865
6/14/20,46751,3896,23064
6/15/20,47322,3929,23349
6/16/20,47943,3970,23684
6/17/20,48490,4007,23881
