Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,1,0,0
2/15/20,1,0,0
2/16/20,1,0,0
2/17/20,1,0,0
2/18/20,1,0,0
2/19/20,1,0,0
2/20/20,1,0,0
2/21/20,1,0,0
2/22/20,1,0,0
2/23/20,1,0,0
2/24/20,1,0,0
2/25/20,1,0,0
2/26/20,1,0,0
2/27/20,1,0,0
2/28/20,1,0,1
2/29/20,1,0,1
3/1/20,2,0,1
3/2/20,2,0,1
3/3/20,2,0,1
3/4/20,2,0,1
3/5/20,3,0,1
3/6/20,15,0,1
3/7/20,15,0,1
3/8/20,49,1,1
3/9/20,55,1,1
3/10/20,59,1,1
3/11/20,60,1,27
3/12/20,67,1,27
3/13/20,80,2,27
3/14/20,109,2,27
3/15/20,110,2,21
3/16/20,150,2,27
3/17/20,196,4,32
3/18/20,196,6,32
3/19/20,256,6,32
3/20/20,285,8,39
3/21/20,294,10,41
3/22/20,327,14,56
3/23/20,366,19,56
3/24/20,402,20,80
3/25/20,456,21,95
3/26/20,495,24,102
3/27/20,536,30,116
3/28/20,576,36,121
3/29/20,609,40,132
3/30/20,656,41,150
3/31/20,710,46,157
4/1/20,779,52,179
4/2/20,865,58,201
4/3/20,985,66,216
4/4/20,1070,71,241
4/5/20,1173,78,247
4/6/20,1322,85,259
4/7/20,1450,94,276
4/8/20,1560,103,305
4/9/20,1699,118,348
4/10/20,1794,135,384
4/11/20,1939,146,426
4/12/20,2065,159,589
4/13/20,2190,164,589
4/14/20,2350,178,589
4/15/20,2505,183,589
4/16/20,2673,196,596
4/17/20,2844,205,646
4/18/20,3032,224,701
4/19/20,3144,239,732
4/20/20,3333,250,821
4/21/20,3490,264,870
4/22/20,3659,276,935
4/23/20,3891,287,1004
4/24/20,4092,294,1075
4/25/20,4319,307,1114
4/26/20,4534,317,1176
4/27/20,4782,337,1236
4/28/20,5042,359,1304
4/29/20,5268,380,1335
4/30/20,5537,392,1381
5/1/20,5895,406,1460
5/2/20,6193,415,1522
5/3/20,6465,429,1562
5/4/20,6813,436,1632
5/5/20,7201,452,1730
5/6/20,7588,469,1815
5/7/20,7981,482,1887
5/8/20,8476,503,1945
5/9/20,8964,514,2002
5/10/20,9400,525,2075
5/11/20,9746,533,2172
5/12/20,10093,544,2326
5/13/20,10431,556,2486
5/14/20,10829,571,2626
5/15/20,11228,592,2799
5/16/20,11719,612,2950
5/17/20,12229,630,3172
5/18/20,12764,645,3440
5/19/20,13484,659,3742
5/20/20,14229,680,3994
5/21/20,15003,696,4217
5/22/20,15786,707,4374
5/23/20,16513,735,4628
5/24/20,17265,764,4807
5/25/20,17967,783,4900
5/26/20,18756,797,5027
5/27/20,19666,816,5205
5/28/20,20793,845,5359
5/29/20,22082,879,5511
5/30/20,23449,913,5693
5/31/20,24985,959,6037
6/1/20,26384,1005,6447
6/2/20,27536,1052,6827
6/3/20,28615,1088,7350
6/4/20,29767,1126,7756
6/5/20,31115,1166,8158
6/6/20,32612,1198,8538
6/7/20,34079,1237,8961
6/8/20,35444,1271,9375
6/9/20,36829,1306,9786
6/10/20,38284,1342,10289
6/11/20,39726,1377,10691
6/12/20,41303,1422,11108
6/13/20,42980,1484,11529
6/14/20,44598,1575,11931
6/15/20,46289,1672,12329
6/16/20,47856,1766,12730
6/17/20,49219,1850,13141
