Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,1,0,0
3/20/20,1,0,0
3/21/20,3,0,0
3/22/20,3,0,0
3/23/20,3,0,0
3/24/20,5,0,0
3/25/20,9,0,0
3/26/20,13,0,0
3/27/20,13,0,0
3/28/20,19,0,0
3/29/20,24,0,0
3/30/20,30,0,0
3/31/20,32,1,0
4/1/20,32,1,0
4/2/20,41,2,0
4/3/20,46,2,0
4/4/20,56,3,2
4/5/20,62,3,2
4/6/20,69,4,5
4/7/20,78,4,5
4/8/20,93,5,9
4/9/20,103,6,14
4/10/20,117,6,15
4/11/20,118,6,19
4/12/20,125,6,21
4/13/20,137,6,22
4/14/20,149,6,25
4/15/20,159,6,30
4/16/20,164,6,33
4/17/20,177,7,38
4/18/20,190,7,43
4/19/20,201,7,44
4/20/20,218,7,46
4/21/20,225,7,48
4/22/20,237,7,63
4/23/20,250,8,67
4/24/20,274,8,75
4/25/20,274,8,75
4/26/20,298,8,83
4/27/20,323,8,89
4/28/20,345,8,97
4/29/20,377,9,106
4/30/20,395,10,119
5/1/20,424,10,124
5/2/20,446,11,141
5/3/20,490,11,154
5/4/20,555,13,180
5/5/20,587,14,205
5/6/20,633,15,219
5/7/20,695,15,252
5/8/20,742,16,257
5/9/20,784,17,276
5/10/20,889,17,293
5/11/20,958,18,325
5/12/20,998,20,349
5/13/20,1037,20,374
5/14/20,1112,23,405
5/15/20,1210,25,417
5/16/20,1265,26,441
5/17/20,1338,30,464
5/18/20,1413,30,474
5/19/20,1498,30,502
5/20/20,1571,31,537
5/21/20,1640,33,544
5/22/20,1725,33,570
5/23/20,1819,33,570
5/24/20,1915,35,633
5/25/20,1983,35,772
5/26/20,2042,36,787
5/27/20,2109,39,891
5/28/20,2194,39,1002
5/29/20,2278,42,1015
5/30/20,2395,46,1031
5/31/20,2517,46,1040
6/1/20,2582,46,1063
6/2/20,2653,49,1160
6/3/20,2705,51,1186
6/4/20,2781,52,1214
6/5/20,2849,53,1249
6/6/20,2934,53,1281
6/7/20,3015,53,1305
6/8/20,3104,56,1379
6/9/20,3191,60,1419
6/10/20,3274,64,1438
6/11/20,3373,68,1504
6/12/20,3481,68,1587
6/13/20,3603,72,1738
6/14/20,3720,74,1846
6/15/20,3826,74,1926
6/16/20,3941,76,2041
6/17/20,4066,79,2137
