Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,4,0,0
3/19/20,6,0,0
3/20/20,6,0,0
3/21/20,6,0,0
3/22/20,6,0,0
3/23/20,9,0,0
3/24/20,9,0,0
3/25/20,9,0,0
3/26/20,12,0,0
3/27/20,12,0,0
3/28/20,12,0,0
3/29/20,12,0,0
3/30/20,12,0,0
3/31/20,12,0,1
4/1/20,15,0,1
4/2/20,15,0,1
4/3/20,16,0,1
4/4/20,16,0,1
4/5/20,16,0,1
4/6/20,16,0,3
4/7/20,16,0,3
4/8/20,18,0,3
4/9/20,18,0,3
4/10/20,18,0,3
4/11/20,18,0,3
4/12/20,21,0,3
4/13/20,21,0,4
4/14/20,41,0,4
4/15/20,51,0,4
4/16/20,51,0,4
4/17/20,79,0,4
4/18/20,79,0,4
4/19/20,79,0,4
4/20/20,79,0,7
4/21/20,83,0,7
4/22/20,84,1,7
4/23/20,84,1,7
4/24/20,214,1,7
4/25/20,258,1,7
4/26/20,258,1,8
4/27/20,258,1,9
4/28/20,315,1,9
4/29/20,315,1,9
4/30/20,315,1,9
5/1/20,315,1,9
5/2/20,315,1,9
5/3/20,315,1,9
5/4/20,315,3,13
5/5/20,315,3,13
5/6/20,439,4,13
5/7/20,439,4,13
5/8/20,439,4,13
5/9/20,439,4,13
5/10/20,439,4,13
5/11/20,439,4,13
5/12/20,439,4,13
5/13/20,522,6,13
5/14/20,583,7,13
5/15/20,594,7,22
5/16/20,594,7,22
5/17/20,594,7,22
5/18/20,719,7,22
5/19/20,825,7,22
5/20/20,890,7,22
5/21/20,903,10,22
5/22/20,960,11,165
5/23/20,960,11,165
5/24/20,960,11,165
5/25/20,1043,12,165
5/26/20,1043,12,165
5/27/20,1043,12,165
5/28/20,1043,12,165
5/29/20,1306,12,200
5/30/20,1306,12,200
5/31/20,1306,12,200
6/1/20,1306,12,200
6/2/20,1306,12,200
6/3/20,1306,12,200
6/4/20,1306,12,200
6/5/20,1306,12,200
6/6/20,1306,12,200
6/7/20,1306,12,200
6/8/20,1306,12,200
6/9/20,1306,12,200
6/10/20,1306,12,200
6/11/20,1306,12,200
6/12/20,1306,12,200
6/13/20,1306,12,200
6/14/20,1306,12,200
6/15/20,1306,12,200
6/16/20,1664,32,515
6/17/20,1664,32,515
