Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,1,0,0
3/20/20,1,0,0
3/21/20,1,0,0
3/22/20,4,0,0
3/23/20,4,0,0
3/24/20,4,0,0
3/25/20,4,0,0
3/26/20,6,0,0
3/27/20,9,0,0
3/28/20,9,0,0
3/29/20,9,0,0
3/30/20,9,0,0
3/31/20,9,0,0
4/1/20,9,0,0
4/2/20,9,0,0
4/3/20,9,0,0
4/4/20,9,0,0
4/5/20,9,0,0
4/6/20,10,0,4
4/7/20,10,0,4
4/8/20,12,0,7
4/9/20,12,0,7
4/10/20,12,0,7
4/11/20,12,0,7
4/12/20,14,0,7
4/13/20,15,0,7
4/14/20,15,0,8
4/15/20,15,0,8
4/16/20,16,1,8
4/17/20,16,1,8
4/18/20,22,1,8
4/19/20,22,1,8
4/20/20,24,1,8
4/21/20,31,1,8
4/22/20,31,1,8
4/23/20,31,1,8
4/24/20,36,1,10
4/25/20,56,1,10
4/26/20,59,1,10
4/27/20,65,1,10
4/28/20,71,1,10
4/29/20,91,1,10
4/30/20,100,1,12
5/1/20,106,1,12
5/2/20,108,1,12
5/3/20,112,1,12
5/4/20,116,1,12
5/5/20,119,1,12
5/6/20,123,2,12
5/7/20,153,2,12
5/8/20,159,2,12
5/9/20,163,2,14
5/10/20,172,2,27
5/11/20,175,2,28
5/12/20,184,2,28
5/13/20,187,2,48
5/14/20,187,2,51
5/15/20,190,2,66
5/16/20,202,2,72
5/17/20,203,2,73
5/18/20,205,2,78
5/19/20,208,2,87
5/20/20,217,2,97
5/21/20,220,2,112
5/22/20,225,2,119
5/23/20,238,2,119
5/24/20,250,2,156
5/25/20,256,2,158
5/26/20,261,2,164
5/27/20,272,2,168
5/28/20,279,2,168
5/29/20,279,2,168
5/30/20,283,2,168
5/31/20,285,2,189
6/1/20,293,3,194
6/2/20,294,3,198
6/3/20,295,3,201
6/4/20,300,3,201
6/5/20,305,3,221
6/6/20,322,3,224
6/7/20,333,3,225
6/8/20,340,3,229
6/9/20,371,3,232
6/10/20,398,3,236
6/11/20,449,3,238
6/12/20,472,3,246
6/13/20,486,3,247
6/14/20,490,4,249
6/15/20,506,4,249
6/16/20,520,4,259
6/17/20,563,4,262
