Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,5,0,0
3/17/20,5,0,0
3/18/20,6,0,0
3/19/20,6,0,0
3/20/20,9,0,0
3/21/20,9,0,0
3/22/20,11,0,4
3/23/20,11,0,4
3/24/20,12,0,0
3/25/20,12,0,0
3/26/20,12,0,0
3/27/20,16,0,0
3/28/20,16,0,1
3/29/20,21,0,1
3/30/20,23,0,4
3/31/20,26,0,2
4/1/20,29,0,2
4/2/20,29,0,3
4/3/20,35,0,3
4/4/20,38,0,4
4/5/20,43,2,4
4/6/20,44,2,4
4/7/20,52,2,4
4/8/20,55,2,4
4/9/20,56,2,4
4/10/20,65,3,4
4/11/20,69,3,10
4/12/20,71,3,10
4/13/20,74,3,14
4/14/20,82,3,14
4/15/20,85,3,15
4/16/20,92,3,15
4/17/20,96,3,15
4/18/20,105,3,16
4/19/20,108,3,16
4/20/20,111,3,16
4/21/20,114,3,16
4/22/20,116,3,21
4/23/20,116,3,21
4/24/20,117,3,25
4/25/20,122,3,29
4/26/20,123,3,41
4/27/20,124,3,50
4/28/20,126,3,50
4/29/20,130,3,58
4/30/20,131,3,59
5/1/20,133,3,66
5/2/20,133,3,69
5/3/20,135,3,75
5/4/20,140,3,75
5/5/20,145,4,91
5/6/20,162,4,93
5/7/20,191,4,93
5/8/20,194,4,95
5/9/20,210,5,97
5/10/20,239,5,99
5/11/20,250,5,105
5/12/20,261,5,106
5/13/20,263,5,108
5/14/20,272,5,108
5/15/20,287,5,112
5/16/20,306,5,113
5/17/20,317,5,113
5/18/20,352,5,116
5/19/20,365,5,120
5/20/20,389,5,122
5/21/20,399,5,123
5/22/20,433,5,128
5/23/20,494,5,151
5/24/20,582,5,152
5/25/20,655,5,159
5/26/20,701,6,167
5/27/20,731,6,181
5/28/20,831,7,191
5/29/20,968,8,197
5/30/20,1063,8,208
5/31/20,1172,11,209
6/1/20,1257,12,217
6/2/20,1344,14,231
6/3/20,1486,17,246
6/4/20,1636,18,250
6/5/20,1805,19,262
6/6/20,1934,20,281
6/7/20,2020,27,344
6/8/20,2156,27,361
6/9/20,2336,32,379
6/10/20,2506,35,401
6/11/20,2670,40,434
6/12/20,2915,47,451
6/13/20,3166,55,495
6/14/20,3345,57,545
6/15/20,3521,60,620
6/16/20,3630,61,738
6/17/20,3759,63,849
