Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,1,0,0
1/30/20,1,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,1,0,0
2/3/20,1,0,0
2/4/20,1,0,0
2/5/20,1,0,0
2/6/20,1,0,0
2/7/20,1,0,0
2/8/20,1,0,0
2/9/20,1,0,0
2/10/20,1,0,0
2/11/20,1,0,0
2/12/20,1,0,1
2/13/20,1,0,1
2/14/20,1,0,1
2/15/20,1,0,1
2/16/20,1,0,1
2/17/20,1,0,1
2/18/20,1,0,1
2/19/20,1,0,1
2/20/20,1,0,1
2/21/20,1,0,1
2/22/20,1,0,1
2/23/20,1,0,1
2/24/20,1,0,1
2/25/20,1,0,1
2/26/20,2,0,1
2/27/20,2,0,1
2/28/20,2,0,1
2/29/20,3,0,1
3/1/20,6,0,1
3/2/20,6,0,1
3/3/20,6,0,1
3/4/20,6,0,1
3/5/20,12,0,1
3/6/20,15,0,1
3/7/20,15,0,1
3/8/20,23,0,1
3/9/20,30,0,1
3/10/20,40,0,1
3/11/20,59,0,1
3/12/20,59,0,1
3/13/20,155,0,1
3/14/20,225,0,1
3/15/20,244,0,10
3/16/20,277,0,10
3/17/20,321,0,10
3/18/20,336,0,10
3/19/20,400,0,10
3/20/20,450,0,10
3/21/20,523,1,10
3/22/20,626,1,10
3/23/20,700,1,10
3/24/20,792,1,10
3/25/20,880,3,10
3/26/20,958,5,10
3/27/20,1041,7,10
3/28/20,1167,9,10
3/29/20,1240,11,10
3/30/20,1352,13,10
3/31/20,1418,17,10
4/1/20,1446,17,10
4/2/20,1518,19,300
4/3/20,1615,20,300
4/4/20,1882,25,300
4/5/20,1927,28,300
4/6/20,2176,27,300
4/7/20,2308,34,300
4/8/20,2487,40,300
4/9/20,2605,42,300
4/10/20,2769,48,300
4/11/20,2905,49,300
4/12/20,2974,56,300
4/13/20,3064,59,300
4/14/20,3161,64,300
4/15/20,3237,72,300
4/16/20,3369,75,1700
4/17/20,3489,82,1700
4/18/20,3681,90,1700
4/19/20,3783,94,1700
4/20/20,3868,98,2000
4/21/20,4014,141,2000
4/22/20,4129,149,2000
4/23/20,4284,172,2000
4/24/20,4395,177,2500
4/25/20,4475,186,2500
4/26/20,4576,190,2500
4/27/20,4695,193,2500
4/28/20,4740,199,2800
4/29/20,4906,206,2800
4/30/20,4995,211,3000
5/1/20,5051,218,3000
5/2/20,5176,220,3000
5/3/20,5254,230,3000
5/4/20,5327,240,3500
5/5/20,5412,246,3500
5/6/20,5573,252,3500
5/7/20,5673,255,3500
5/8/20,5738,260,4000
5/9/20,5880,265,4000
5/10/20,5962,267,4000
5/11/20,5984,271,4000
5/12/20,6003,275,4300
5/13/20,6054,284,4300
5/14/20,6145,287,4300
5/15/20,6228,293,5000
5/16/20,6286,297,5000
5/17/20,6347,298,5000
5/18/20,6380,300,5000
5/19/20,6399,301,5000
5/20/20,6443,304,4800
5/21/20,6493,306,4800
5/22/20,6537,306,4800
5/23/20,6568,306,4800
5/24/20,6579,307,4800
5/25/20,6599,308,5100
5/26/20,6628,312,5100
5/27/20,6692,313,5100
5/28/20,6743,313,5500
5/29/20,6776,314,5500
5/30/20,6826,316,5500
5/31/20,6859,320,5500
6/1/20,6885,318,5500
6/2/20,6887,320,5500
6/3/20,6911,321,5500
6/4/20,6911,322,5800
6/5/20,6941,322,5800
6/6/20,6964,322,5800
6/7/20,6981,323,5800
6/8/20,7001,323,5800
6/9/20,7025,324,5800
6/10/20,7040,324,5800
6/11/20,7064,325,6200
6/12/20,7073,325,6200
6/13/20,7087,325,6200
6/14/20,7104,326,6200
6/15/20,7108,326,6200
6/16/20,7112,326,6200
6/17/20,7117,326,6200
