Date,Confirmed,Deaths,Recovered
1/23/20,0,0,0
1/24/20,2,0,0
1/25/20,3,0,0
1/26/20,3,0,0
1/27/20,3,0,0
1/28/20,4,0,0
1/29/20,5,0,0
1/30/20,5,0,0
1/31/20,5,0,0
2/1/20,6,0,0
2/2/20,6,0,0
2/3/20,6,0,0
2/4/20,6,0,0
2/5/20,6,0,0
2/6/20,6,0,0
2/7/20,6,0,0
2/8/20,11,0,0
2/9/20,11,0,0
2/10/20,11,0,0
2/11/20,11,0,0
2/12/20,11,0,2
2/13/20,11,0,2
2/14/20,11,0,2
2/15/20,12,1,4
2/16/20,12,1,4
2/17/20,12,1,4
2/18/20,12,1,4
2/19/20,12,1,4
2/20/20,12,1,4
2/21/20,12,1,4
2/22/20,12,1,4
2/23/20,12,1,4
2/24/20,12,1,4
2/25/20,14,1,11
2/26/20,18,2,11
2/27/20,38,2,11
2/28/20,57,2,11
2/29/20,100,2,12
3/1/20,130,2,12
3/2/20,191,3,12
3/3/20,204,4,12
3/4/20,288,4,12
3/5/20,380,6,12
3/6/20,656,9,12
3/7/20,959,11,12
3/8/20,1136,19,12
3/9/20,1219,19,12
3/10/20,1794,33,12
3/11/20,2293,48,12
3/12/20,2293,48,12
3/13/20,3681,79,12
3/14/20,4496,91,12
3/15/20,4532,91,12
3/16/20,6683,149,12
3/17/20,7715,149,12
3/18/20,9124,149,12
3/19/20,10970,244,12
3/20/20,12758,451,12
3/21/20,14463,563,12
3/22/20,16243,676,2206
3/23/20,20123,862,2206
3/24/20,22622,1102,3250
3/25/20,25600,1333,3907
3/26/20,29551,1698,4955
3/27/20,33402,1997,5707
3/28/20,38105,2317,5724
3/29/20,40708,2611,7226
3/30/20,45170,3030,7964
3/31/20,52827,3532,9513
4/1/20,57749,4414,11053
4/2/20,59929,5398,12548
4/3/20,65202,6520,14135
4/4/20,69500,7574,15572
4/5/20,71412,8093,16349
4/6/20,75343,8926,17428
4/7/20,79163,10343,19523
4/8/20,83057,10887,21452
4/9/20,87366,12228,23413
4/10/20,91738,13215,25195
4/11/20,94863,13851,26663
4/12/20,121712,14412,27469
4/13/20,125394,14986,28001
4/14/20,130365,15731,28805
4/15/20,133585,17169,30955
4/16/20,146075,17922,32812
4/17/20,148084,18683,34420
4/18/20,148086,19325,35983
4/19/20,153011,19720,36578
4/20/20,155393,20267,37409
4/21/20,158168,20798,39181
4/22/20,155980,21342,40657
4/23/20,158303,21858,42088
4/24/20,159952,22248,43493
4/25/20,161644,22617,44594
4/26/20,162220,22859,44903
4/27/20,165963,23296,45513
4/28/20,169053,23663,46886
4/29/20,166543,24090,48228
4/30/20,167299,24379,49476
5/1/20,167305,24597,50212
5/2/20,168518,24763,50663
5/3/20,168925,24900,50885
5/4/20,169583,25204,51476
5/5/20,170687,25537,52842
5/6/20,174224,25812,54079
5/7/20,174918,25990,55191
5/8/20,176202,26233,55892
5/9/20,176782,26313,56148
5/10/20,177094,26383,56327
5/11/20,177547,26646,56835
5/12/20,178349,26994,57898
5/13/20,178184,27077,58786
5/14/20,178994,27428,59719
5/15/20,179630,27532,60562
5/16/20,179630,27532,60562
5/17/20,179693,28111,61327
5/18/20,180051,28242,61843
5/19/20,180933,28025,62678
5/20/20,181700,28135,63472
5/21/20,181951,28218,63976
5/22/20,182354,28292,64327
5/23/20,182694,28335,64665
5/24/20,182709,28370,64735
5/25/20,183067,28460,65317
5/26/20,182847,28533,65997
5/27/20,183038,28599,66702
5/28/20,186364,28665,67309
5/29/20,186923,28717,67921
5/30/20,188752,28774,68386
5/31/20,189009,28805,68473
6/1/20,189348,28836,68558
6/2/20,188450,28943,68930
6/3/20,192330,29024,69573
6/4/20,189569,29068,70094
6/5/20,190180,29114,70622
6/6/20,190759,29145,70924
6/7/20,191102,29158,70961
6/8/20,191313,29212,71182
6/9/20,191523,29299,71626
6/10/20,192068,29322,71952
6/11/20,192493,29349,72269
6/12/20,193220,29377,72695
6/13/20,193746,29401,72931
6/14/20,194153,29410,72982
6/15/20,194305,29439,73168
6/16/20,194347,29550,73459
6/17/20,194805,29578,73791
