Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,5,0,0
3/8/20,5,0,0
3/9/20,5,0,0
3/10/20,5,0,0
3/11/20,5,0,0
3/12/20,5,0,0
3/13/20,5,0,0
3/14/20,5,0,0
3/15/20,7,0,0
3/16/20,11,0,0
3/17/20,11,0,0
3/18/20,11,0,0
3/19/20,11,0,0
3/20/20,15,0,0
3/21/20,18,0,0
3/22/20,18,0,6
3/23/20,20,0,6
3/24/20,23,0,6
3/25/20,28,0,6
3/26/20,28,0,6
3/27/20,28,0,6
3/28/20,28,0,6
3/29/20,28,0,6
3/30/20,43,0,6
3/31/20,43,0,6
4/1/20,51,0,15
4/2/20,51,0,15
4/3/20,57,0,22
4/4/20,61,0,22
4/5/20,61,0,22
4/6/20,72,0,34
4/7/20,72,0,34
4/8/20,77,0,34
4/9/20,83,0,43
4/10/20,83,0,43
4/11/20,83,0,43
4/12/20,86,0,51
4/13/20,86,0,51
4/14/20,86,0,51
4/15/20,86,0,51
4/16/20,86,0,51
4/17/20,96,0,61
4/18/20,96,0,64
4/19/20,96,0,64
4/20/20,97,1,69
4/21/20,97,1,76
4/22/20,97,1,83
4/23/20,107,1,84
4/24/20,111,1,87
4/25/20,111,1,87
4/26/20,111,1,87
4/27/20,111,1,87
4/28/20,125,1,93
4/29/20,125,1,93
4/30/20,126,1,94
5/1/20,128,1,98
5/2/20,128,1,98
5/3/20,128,1,98
5/4/20,133,1,100
5/5/20,133,1,100
5/6/20,138,1,111
5/7/20,138,1,112
5/8/20,141,1,119
5/9/20,141,1,119
5/10/20,144,1,122
5/11/20,144,1,122
5/12/20,144,1,122
5/13/20,153,1,124
5/14/20,164,1,124
5/15/20,189,1,124
5/16/20,197,1,125
5/17/20,197,1,125
5/18/20,210,1,131
5/19/20,218,1,136
5/20/20,237,1,136
5/21/20,249,1,137
5/22/20,261,1,141
5/23/20,279,1,143
5/24/20,328,1,145
5/25/20,353,1,146
5/26/20,384,1,146
5/27/20,406,1,150
5/28/20,436,1,161
5/29/20,450,1,172
5/30/20,477,1,185
5/31/20,499,1,200
6/1/20,499,1,200
6/2/20,517,1,207
6/3/20,533,1,254
6/4/20,556,1,296
6/5/20,589,1,321
6/6/20,639,1,348
6/7/20,689,1,383
6/8/20,729,2,400
6/9/20,773,2,427
6/10/20,865,2,457
6/11/20,917,2,462
6/12/20,1043,2,489
6/13/20,1161,2,520
6/14/20,1255,3,534
6/15/20,1326,3,552
6/16/20,1421,5,619
6/17/20,1554,5,663
