Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,3,0,0
3/16/20,6,0,0
3/17/20,18,0,0
3/18/20,27,0,0
3/19/20,33,0,0
3/20/20,45,0,0
3/21/20,53,0,0
3/22/20,58,1,0
3/23/20,62,1,0
3/24/20,62,1,0
3/25/20,73,1,0
3/26/20,73,1,0
3/27/20,73,1,0
3/28/20,102,2,17
3/29/20,106,4,17
3/30/20,106,4,17
3/31/20,114,4,22
4/1/20,125,6,24
4/2/20,128,6,24
4/3/20,130,7,24
4/4/20,134,7,24
4/5/20,135,7,31
4/6/20,135,7,31
4/7/20,139,7,31
4/8/20,141,8,43
4/9/20,141,8,43
4/10/20,143,8,67
4/11/20,143,8,67
4/12/20,143,8,67
4/13/20,143,8,67
4/14/20,145,8,67
4/15/20,145,8,67
4/16/20,145,8,67
4/17/20,145,8,67
4/18/20,148,8,73
4/19/20,148,8,73
4/20/20,148,8,73
4/21/20,148,12,73
4/22/20,148,12,73
4/23/20,148,12,76
4/24/20,149,12,82
4/25/20,149,12,82
4/26/20,149,12,82
4/27/20,149,12,82
4/28/20,149,12,82
4/29/20,149,12,82
4/30/20,151,12,95
5/1/20,152,12,95
5/2/20,152,12,95
5/3/20,152,12,95
5/4/20,152,12,98
5/5/20,152,12,98
5/6/20,152,13,104
5/7/20,153,13,104
5/8/20,154,13,104
5/9/20,154,13,104
5/10/20,154,13,104
5/11/20,154,13,104
5/12/20,155,13,109
5/13/20,155,13,109
5/14/20,155,13,109
5/15/20,155,13,109
5/16/20,155,13,109
5/17/20,155,13,109
5/18/20,155,13,109
5/19/20,155,13,109
5/20/20,155,13,109
5/21/20,155,13,109
5/22/20,156,13,115
5/23/20,156,13,115
5/24/20,161,14,115
5/25/20,161,14,115
5/26/20,161,14,115
5/27/20,161,14,115
5/28/20,161,14,115
5/29/20,162,14,138
5/30/20,162,14,138
5/31/20,162,14,138
6/1/20,162,14,138
6/2/20,162,14,138
6/3/20,162,14,138
6/4/20,162,14,138
6/5/20,164,14,144
6/6/20,164,14,144
6/7/20,164,14,144
6/8/20,164,14,144
6/9/20,164,14,144
6/10/20,164,14,144
6/11/20,164,14,144
6/12/20,171,14,157
6/13/20,171,14,157
6/14/20,171,14,157
6/15/20,171,14,157
6/16/20,171,14,157
6/17/20,171,14,157
