Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,2,0,0
3/8/20,2,0,0
3/9/20,2,0,0
3/10/20,2,0,0
3/11/20,3,0,0
3/12/20,3,0,0
3/13/20,3,0,0
3/14/20,9,0,0
3/15/20,9,0,0
3/16/20,15,1,0
3/17/20,16,1,0
3/18/20,19,1,0
3/19/20,23,1,0
3/20/20,32,1,0
3/21/20,32,1,0
3/22/20,44,1,0
3/23/20,53,1,0
3/24/20,57,1,0
3/25/20,66,1,0
3/26/20,66,1,0
3/27/20,81,1,0
3/28/20,93,1,0
3/29/20,93,1,0
3/30/20,93,1,0
3/31/20,128,3,27
4/1/20,135,3,27
4/2/20,138,3,27
4/3/20,143,3,27
4/4/20,145,3,27
4/5/20,149,4,50
4/6/20,151,4,50
4/7/20,152,4,50
4/8/20,154,6,50
4/9/20,154,6,50
4/10/20,155,6,50
4/11/20,155,6,50
4/12/20,155,6,50
4/13/20,157,6,50
4/14/20,157,6,50
4/15/20,158,8,73
4/16/20,158,8,73
4/17/20,158,8,73
4/18/20,158,8,73
4/19/20,163,12,73
4/20/20,163,12,73
4/21/20,163,14,73
4/22/20,164,14,73
4/23/20,164,14,73
4/24/20,170,14,77
4/25/20,175,14,77
4/26/20,175,14,77
4/27/20,175,14,77
4/28/20,175,14,83
4/29/20,175,14,83
4/30/20,178,14,83
5/1/20,179,14,83
5/2/20,179,14,83
5/3/20,179,14,83
5/4/20,181,14,83
5/5/20,181,14,83
5/6/20,182,14,83
5/7/20,183,14,83
5/8/20,186,14,83
5/9/20,186,14,83
5/10/20,186,14,83
5/11/20,187,14,83
5/12/20,187,14,91
5/13/20,189,14,91
5/14/20,189,14,91
5/15/20,192,14,91
5/16/20,192,14,91
5/17/20,192,14,91
5/18/20,192,14,91
5/19/20,192,14,91
5/20/20,192,14,91
5/21/20,192,14,91
5/22/20,197,14,91
5/23/20,197,14,91
5/24/20,197,14,91
5/25/20,197,14,91
5/26/20,197,14,91
5/27/20,197,14,91
5/28/20,197,14,91
5/29/20,200,14,98
5/30/20,200,14,98
5/31/20,200,14,98
6/1/20,200,14,98
6/2/20,200,14,98
6/3/20,200,14,98
6/4/20,200,14,98
6/5/20,202,14,98
6/6/20,202,14,98
6/7/20,202,14,98
6/8/20,202,14,98
6/9/20,202,14,98
6/10/20,202,14,98
6/11/20,202,14,98
6/12/20,202,14,98
6/13/20,202,14,98
6/14/20,202,14,98
6/15/20,202,14,98
6/16/20,202,14,98
6/17/20,202,14,98
