Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,3,0,0
3/19/20,3,0,0
3/20/20,6,0,0
3/21/20,7,0,0
3/22/20,11,0,0
3/23/20,24,0,0
3/24/20,36,0,0
3/25/20,36,0,0
3/26/20,36,0,0
3/27/20,50,0,0
3/28/20,63,0,0
3/29/20,63,0,0
3/30/20,82,0,10
3/31/20,94,1,10
4/1/20,94,1,10
4/2/20,116,1,10
4/3/20,128,2,10
4/4/20,134,2,14
4/5/20,147,2,14
4/6/20,147,2,14
4/7/20,171,2,22
4/8/20,171,2,22
4/9/20,184,2,22
4/10/20,191,2,50
4/11/20,196,3,59
4/12/20,196,3,59
4/13/20,207,3,59
4/14/20,217,3,69
4/15/20,217,3,69
4/16/20,233,3,69
4/17/20,245,4,117
4/18/20,254,4,117
4/19/20,271,4,117
4/20/20,271,4,117
4/21/20,311,4,117
4/22/20,326,4,125
4/23/20,326,4,125
4/24/20,354,4,144
4/25/20,380,4,144
4/26/20,401,4,144
4/27/20,401,4,144
4/28/20,460,4,235
4/29/20,460,4,235
4/30/20,539,4,235
5/1/20,539,4,235
5/2/20,539,4,235
5/3/20,650,6,235
5/4/20,686,6,352
5/5/20,739,9,352
5/6/20,739,9,352
5/7/20,854,10,352
5/8/20,854,10,352
5/9/20,988,11,492
5/10/20,1023,11,492
5/11/20,1023,11,492
5/12/20,1095,12,492
5/13/20,1143,14,627
5/14/20,1210,16,627
5/15/20,1210,16,627
5/16/20,1312,18,627
5/17/20,1342,18,627
5/18/20,1370,18,627
5/19/20,1370,18,627
5/20/20,1475,19,894
5/21/20,1475,19,894
5/22/20,1521,19,894
5/23/20,1521,19,894
5/24/20,1587,20,894
5/25/20,1609,20,894
5/26/20,1634,20,894
5/27/20,1645,20,1314
5/28/20,1670,21,1315
5/29/20,1699,21,1385
5/30/20,1699,21,1385
5/31/20,1699,21,1385
6/1/20,1934,24,1473
6/2/20,1986,24,1473
6/3/20,1993,24,1523
6/4/20,2058,25,1523
6/5/20,2079,25,1523
6/6/20,2079,25,1523
6/7/20,2079,25,1523
6/8/20,2151,25,1654
6/9/20,2175,28,1654
6/10/20,2226,28,1654
6/11/20,2240,28,1654
6/12/20,2268,28,1790
6/13/20,2282,28,1790
6/14/20,2298,29,1790
6/15/20,2310,29,2058
6/16/20,2333,29,2058
6/17/20,2345,29,2066
