Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,1,0,0
3/12/20,1,0,0
3/13/20,5,0,0
3/14/20,6,0,0
3/15/20,7,0,0
3/16/20,9,0,0
3/17/20,9,0,0
3/18/20,12,0,0
3/19/20,14,0,0
3/20/20,28,0,0
3/21/20,45,0,0
3/22/20,64,0,0
3/23/20,71,0,0
3/24/20,94,0,1
3/25/20,111,0,1
3/26/20,135,0,1
3/27/20,145,0,1
3/28/20,183,0,1
3/29/20,183,0,1
3/30/20,224,0,1
3/31/20,247,0,1
4/1/20,281,0,40
4/2/20,308,0,40
4/3/20,321,0,40
4/4/20,334,0,40
4/5/20,344,0,40
4/6/20,349,0,40
4/7/20,358,0,40
4/8/20,358,0,40
4/9/20,362,0,40
4/10/20,382,0,40
4/11/20,388,0,40
4/12/20,389,0,40
4/13/20,391,0,40
4/14/20,391,0,40
4/15/20,391,0,237
4/16/20,394,0,237
4/17/20,402,0,237
4/18/20,407,0,237
4/19/20,408,0,237
4/20/20,408,0,237
4/21/20,410,0,238
4/22/20,410,0,238
4/23/20,412,0,238
4/24/20,412,0,300
4/25/20,417,0,300
4/26/20,417,0,300
4/27/20,418,0,300
4/28/20,418,0,300
4/29/20,420,0,300
4/30/20,420,0,300
5/1/20,422,0,300
5/2/20,423,0,300
5/3/20,423,0,300
5/4/20,424,0,300
5/5/20,424,0,300
5/6/20,425,0,300
5/7/20,427,0,354
5/8/20,426,0,354
5/9/20,431,0,354
5/10/20,436,0,354
5/11/20,436,0,354
5/12/20,437,0,354
5/13/20,439,0,354
5/14/20,440,0,354
5/15/20,441,0,354
5/16/20,443,0,354
5/17/20,443,0,354
5/18/20,446,0,354
5/19/20,446,0,354
5/20/20,447,1,411
5/21/20,449,1,411
5/22/20,449,1,411
5/23/20,452,1,411
5/24/20,452,1,411
5/25/20,456,1,411
5/26/20,459,1,411
5/27/20,460,1,411
5/28/20,465,1,411
5/29/20,470,1,411
5/30/20,471,1,411
5/31/20,471,1,411
6/1/20,473,1,411
6/2/20,477,1,411
6/3/20,478,1,411
6/4/20,479,1,411
6/5/20,480,1,411
6/6/20,480,1,411
6/7/20,480,1,411
6/8/20,481,1,447
6/9/20,481,1,447
6/10/20,486,1,447
6/11/20,487,1,447
6/12/20,488,1,460
6/13/20,489,1,460
6/14/20,495,1,460
6/15/20,496,1,460
6/16/20,495,1,460
6/17/20,497,1,460
