Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,1,0,0
3/20/20,3,1,0
3/21/20,4,1,0
3/22/20,5,1,0
3/23/20,5,1,0
3/24/20,6,1,0
3/25/20,6,1,0
3/26/20,7,1,0
3/27/20,7,1,0
3/28/20,7,1,0
3/29/20,7,1,0
3/30/20,7,1,0
3/31/20,16,1,0
4/1/20,18,1,0
4/2/20,21,1,0
4/3/20,21,1,1
4/4/20,21,1,1
4/5/20,21,1,1
4/6/20,24,1,1
4/7/20,30,1,1
4/8/20,34,1,1
4/9/20,44,1,1
4/10/20,44,1,1
4/11/20,46,1,1
4/12/20,49,1,1
4/13/20,57,1,1
4/14/20,57,1,1
4/15/20,80,1,4
4/16/20,80,1,4
4/17/20,108,1,7
4/18/20,108,1,7
4/19/20,109,1,7
4/20/20,120,1,7
4/21/20,156,1,16
4/22/20,166,1,24
4/23/20,167,2,24
4/24/20,172,3,26
4/25/20,176,3,30
4/26/20,176,3,30
4/27/20,211,3,43
4/28/20,238,3,53
4/29/20,276,3,67
4/30/20,276,3,67
5/1/20,276,3,67
5/2/20,335,5,85
5/3/20,335,5,85
5/4/20,367,6,93
5/5/20,397,6,93
5/6/20,397,6,93
5/7/20,504,8,110
5/8/20,620,8,110
5/9/20,661,8,110
5/10/20,661,8,110
5/11/20,802,9,127
5/12/20,863,9,137
5/13/20,1004,9,152
5/14/20,1104,10,182
5/15/20,1209,10,219
5/16/20,1320,11,244
5/17/20,1320,11,244
5/18/20,1432,11,301
5/19/20,1502,12,318
5/20/20,1567,12,365
5/21/20,1567,12,365
5/22/20,1728,12,402
5/23/20,1934,12,459
5/24/20,1934,12,459
5/25/20,2135,14,562
5/26/20,2238,14,593
5/27/20,2319,14,631
5/28/20,2431,14,668
5/29/20,2613,15,709
5/30/20,2655,17,722
5/31/20,2655,17,722
6/1/20,2655,17,722
6/2/20,2803,20,779
6/3/20,2902,20,801
6/4/20,2955,21,818
6/5/20,3101,21,833
6/6/20,3101,21,833
6/7/20,3101,21,833
6/8/20,3101,21,833
6/9/20,3247,21,938
6/10/20,3375,22,978
6/11/20,3463,23,1024
6/12/20,3463,23,1024
6/13/20,3463,23,1024
6/14/20,3463,23,1024
6/15/20,4033,27,1334
6/16/20,4114,29,1432
6/17/20,4229,30,1505
