Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,1,0,0
2/27/20,1,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,3,0,0
3/2/20,3,0,0
3/3/20,3,0,0
3/4/20,3,0,0
3/5/20,4,0,0
3/6/20,4,0,0
3/7/20,4,0,0
3/8/20,13,0,0
3/9/20,15,0,0
3/10/20,15,0,0
3/11/20,24,0,0
3/12/20,24,0,0
3/13/20,25,0,0
3/14/20,30,0,0
3/15/20,33,0,0
3/16/20,33,0,1
3/17/20,34,0,1
3/18/20,38,0,1
3/19/20,40,0,1
3/20/20,43,0,1
3/21/20,49,0,1
3/22/20,54,0,3
3/23/20,61,0,3
3/24/20,70,0,9
3/25/20,75,0,10
3/26/20,79,0,11
3/27/20,83,0,14
3/28/20,90,0,14
3/29/20,91,0,18
3/30/20,103,0,20
3/31/20,110,0,21
