Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,1,0,0
1/28/20,4,0,0
1/29/20,4,0,0
1/30/20,4,0,0
1/31/20,5,0,0
2/1/20,8,0,0
2/2/20,10,0,0
2/3/20,12,0,0
2/4/20,12,0,0
2/5/20,12,0,0
2/6/20,12,0,0
2/7/20,13,0,0
2/8/20,13,0,0
2/9/20,14,0,0
2/10/20,14,0,0
2/11/20,16,0,0
2/12/20,16,0,0
2/13/20,16,0,1
2/14/20,16,0,1
2/15/20,16,0,1
2/16/20,16,0,1
2/17/20,16,0,1
2/18/20,16,0,12
2/19/20,16,0,12
2/20/20,16,0,12
2/21/20,16,0,14
2/22/20,16,0,14
2/23/20,16,0,14
2/24/20,16,0,14
2/25/20,17,0,14
2/26/20,27,0,15
2/27/20,46,0,16
2/28/20,48,0,16
2/29/20,79,0,16
3/1/20,130,0,16
3/2/20,159,0,16
3/3/20,196,0,16
3/4/20,262,0,16
3/5/20,482,0,16
3/6/20,670,0,17
3/7/20,799,0,18
3/8/20,1040,0,18
3/9/20,1176,2,18
3/10/20,1457,2,18
3/11/20,1908,3,25
3/12/20,2078,3,25
3/13/20,3675,7,46
3/14/20,4585,9,46
3/15/20,5795,11,46
3/16/20,7272,17,67
3/17/20,9257,24,67
3/18/20,12327,28,105
3/19/20,15320,44,113
3/20/20,19848,67,180
3/21/20,22213,84,233
3/22/20,24873,94,266
3/23/20,29056,123,266
3/24/20,32986,157,3243
3/25/20,37323,206,3547
3/26/20,43938,267,5673
3/27/20,50871,342,6658
3/28/20,57695,433,8481
3/29/20,62095,533,9211
3/30/20,66885,645,13500
3/31/20,71808,775,16100
4/1/20,77872,920,18700
4/2/20,84794,1107,22440
4/3/20,91159,1275,24575
4/4/20,96092,1444,26400
4/5/20,100123,1584,28700
4/6/20,103374,1810,28700
4/7/20,107663,2016,36081
4/8/20,113296,2349,46300
4/9/20,118181,2607,52407
4/10/20,122171,2767,53913
4/11/20,124908,2736,57400
4/12/20,127854,3022,60300
4/13/20,130072,3194,64300
4/14/20,131359,3294,68200
4/15/20,134753,3804,72600
4/16/20,137698,4052,77000
4/17/20,141397,4352,83114
4/18/20,143342,4459,85400
4/19/20,145184,4586,88000
4/20/20,147065,4862,91500
4/21/20,148291,5033,95200
4/22/20,150648,5279,99400
4/23/20,153129,5575,103300
4/24/20,154999,5760,109800
4/25/20,156513,5877,109800
4/26/20,157770,5976,112000
4/27/20,158758,6126,114500
4/28/20,159912,6314,117400
4/29/20,161539,6467,120400
4/30/20,163009,6623,123500
5/1/20,164077,6736,126900
5/2/20,164967,6812,129000
5/3/20,165664,6866,130600
5/4/20,166152,6993,132700
5/5/20,167007,6993,135100
5/6/20,168162,7275,139900
5/7/20,169430,7392,141700
5/8/20,170588,7510,141700
5/9/20,171324,7549,143300
5/10/20,171879,7569,144400
5/11/20,172576,7661,145617
5/12/20,173171,7738,147200
5/13/20,174098,7861,148700
5/14/20,174478,7884,150300
5/15/20,175233,7897,151597
5/16/20,175752,7938,152600
5/17/20,176369,7962,154011
5/18/20,176551,8003,155041
5/19/20,177778,8081,155681
5/20/20,178473,8144,156966
5/21/20,179021,8203,158087
5/22/20,179710,8228,159064
5/23/20,179986,8261,159716
5/24/20,180328,8283,160281
5/25/20,180600,8309,161199
5/26/20,181200,8372,161967
5/27/20,181524,8428,162820
5/28/20,182196,8470,163360
5/29/20,182922,8504,164245
5/30/20,183189,8530,164908
5/31/20,183410,8540,165352
6/1/20,183594,8555,165632
6/2/20,183879,8563,166609
6/3/20,184121,8602,167453
6/4/20,184472,8635,167909
6/5/20,184924,8658,168480
6/6/20,185450,8673,168958
6/7/20,185750,8685,169224
6/8/20,186109,8695,169556
6/9/20,186506,8736,170129
6/10/20,186522,8752,170630
6/11/20,186691,8772,170961
6/12/20,187226,8783,171535
6/13/20,187267,8793,171970
6/14/20,187518,8801,172089
6/15/20,187682,8807,172692
6/16/20,188252,8820,172842
6/17/20,188604,8851,173599
