Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,3,0,0
3/15/20,6,0,0
3/16/20,6,0,0
3/17/20,7,0,0
3/18/20,7,0,0
3/19/20,11,0,0
3/20/20,16,0,0
3/21/20,19,1,0
3/22/20,23,1,0
3/23/20,27,2,0
3/24/20,53,2,0
3/25/20,93,4,0
3/26/20,132,4,1
3/27/20,137,4,2
3/28/20,141,5,2
3/29/20,152,5,2
3/30/20,152,5,2
3/31/20,161,5,31
4/1/20,195,5,31
4/2/20,204,5,31
4/3/20,205,5,31
4/4/20,205,5,31
4/5/20,214,5,31
4/6/20,214,5,31
4/7/20,287,5,31
4/8/20,313,6,34
4/9/20,378,6,3
4/10/20,378,6,4
4/11/20,408,8,4
4/12/20,566,8,4
4/13/20,566,8,4
4/14/20,636,8,17
4/15/20,636,8,17
4/16/20,641,8,83
4/17/20,641,8,83
4/18/20,834,9,99
4/19/20,1042,9,99
4/20/20,1042,9,99
4/21/20,1042,9,99
4/22/20,1154,9,99
4/23/20,1154,9,99
4/24/20,1279,10,134
4/25/20,1279,10,134
4/26/20,1550,11,155
4/27/20,1550,11,155
4/28/20,1671,16,188
4/29/20,1671,16,188
4/30/20,2074,17,212
5/1/20,2074,17,212
5/2/20,2169,18,229
5/3/20,2169,18,229
5/4/20,2719,18,294
5/5/20,2719,18,294
5/6/20,3091,18,294
5/7/20,3091,18,303
5/8/20,4012,18,323
5/9/20,4263,22,378
5/10/20,4263,22,378
5/11/20,4700,22,494
5/12/20,5127,22,494
5/13/20,5408,24,514
5/14/20,5530,24,674
5/15/20,5638,28,1460
5/16/20,5735,29,1754
5/17/20,5735,29,1754
5/18/20,5735,29,1754
5/19/20,6096,31,1773
5/20/20,6269,31,1898
5/21/20,6269,31,1898
5/22/20,6486,31,1951
5/23/20,6617,31,1978
5/24/20,6683,32,1998
5/25/20,6808,32,2070
5/26/20,7117,34,2317
5/27/20,7303,34,2412
5/28/20,7303,34,2412
5/29/20,7616,34,2421
5/30/20,7768,35,2540
5/31/20,8070,36,2947
6/1/20,8070,36,2947
6/2/20,8297,38,2986
6/3/20,8548,38,3132
6/4/20,8885,38,3189
6/5/20,9168,42,3457
6/6/20,9462,44,3547
6/7/20,9638,44,3636
6/8/20,9910,48,3645
6/9/20,10201,48,3755
6/10/20,10201,48,3755
6/11/20,10358,48,3824
6/12/20,10856,48,3921
6/13/20,11118,48,3979
6/14/20,11964,54,4258
6/15/20,11964,54,4258
6/16/20,12193,58,4326
6/17/20,12590,66,4410
