Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,1,0,0
2/27/20,3,0,0
2/28/20,4,0,0
2/29/20,4,0,0
3/1/20,7,0,0
3/2/20,7,0,0
3/3/20,7,0,0
3/4/20,9,0,0
3/5/20,31,0,0
3/6/20,45,0,0
3/7/20,46,0,0
3/8/20,73,0,0
3/9/20,73,0,0
3/10/20,89,0,0
3/11/20,99,1,0
3/12/20,99,1,0
3/13/20,190,1,0
3/14/20,228,3,8
3/15/20,331,4,8
3/16/20,331,4,8
3/17/20,387,5,8
3/18/20,418,5,8
3/19/20,418,6,8
3/20/20,495,6,19
3/21/20,530,13,19
3/22/20,624,15,19
3/23/20,695,17,19
3/24/20,743,20,29
3/25/20,821,22,36
3/26/20,892,26,36
3/27/20,966,28,52
3/28/20,1061,32,52
3/29/20,1156,38,52
3/30/20,1212,43,52
3/31/20,1314,49,52
4/1/20,1415,50,52
4/2/20,1544,53,61
4/3/20,1613,63,78
4/4/20,1673,68,78
4/5/20,1735,73,78
4/6/20,1755,79,269
4/7/20,1832,81,269
4/8/20,1884,83,269
4/9/20,1955,87,269
4/10/20,2011,92,269
4/11/20,2081,93,269
4/12/20,2114,98,269
4/13/20,2145,99,269
4/14/20,2170,101,269
4/15/20,2192,102,269
4/16/20,2207,105,269
4/17/20,2224,108,269
4/18/20,2235,110,269
4/19/20,2235,113,269
4/20/20,2245,116,269
4/21/20,2401,121,577
4/22/20,2408,121,577
4/23/20,2463,125,577
4/24/20,2490,130,577
4/25/20,2506,130,577
4/26/20,2517,134,577
4/27/20,2534,136,577
4/28/20,2566,138,577
4/29/20,2576,139,577
4/30/20,2591,140,1374
5/1/20,2612,140,1374
5/2/20,2620,143,1374
5/3/20,2626,144,1374
5/4/20,2632,146,1374
5/5/20,2642,146,1374
5/6/20,2663,147,1374
5/7/20,2678,148,1374
5/8/20,2691,150,1374
5/9/20,2710,151,1374
5/10/20,2716,151,1374
5/11/20,2726,151,1374
5/12/20,2744,152,1374
5/13/20,2760,155,1374
5/14/20,2770,156,1374
5/15/20,2810,160,1374
5/16/20,2819,162,1374
5/17/20,2834,163,1374
5/18/20,2836,165,1374
5/19/20,2840,165,1374
5/20/20,2850,166,1374
5/21/20,2853,168,1374
5/22/20,2874,169,1374
5/23/20,2876,171,1374
5/24/20,2878,171,1374
5/25/20,2882,172,1374
5/26/20,2892,173,1374
5/27/20,2903,173,1374
5/28/20,2906,175,1374
5/29/20,2909,175,1374
5/30/20,2915,175,1374
5/31/20,2917,175,1374
6/1/20,2918,179,1374
6/2/20,2937,179,1374
6/3/20,2937,179,1374
6/4/20,2952,180,1374
6/5/20,2967,180,1374
6/6/20,2980,180,1374
6/7/20,2997,180,1374
6/8/20,3049,182,1374
6/9/20,3058,183,1374
6/10/20,3068,183,1374
6/11/20,3088,183,1374
6/12/20,3108,183,1374
6/13/20,3112,183,1374
6/14/20,3121,183,1374
6/15/20,3134,184,1374
6/16/20,3148,185,1374
6/17/20,3203,187,1374
