Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,2,1,0
3/17/20,6,1,0
3/18/20,6,1,0
3/19/20,9,1,0
3/20/20,12,1,0
3/21/20,17,1,0
3/22/20,19,1,0
3/23/20,20,1,0
3/24/20,21,1,0
3/25/20,24,1,4
3/26/20,25,1,4
3/27/20,28,1,4
3/28/20,34,1,10
3/29/20,34,1,10
3/30/20,36,1,10
3/31/20,38,1,12
4/1/20,39,1,12
4/2/20,47,1,12
4/3/20,50,1,12
4/4/20,61,2,15
4/5/20,61,2,15
4/6/20,70,3,15
4/7/20,77,3,17
4/8/20,87,3,17
4/9/20,95,3,17
4/10/20,126,3,17
4/11/20,137,3,19
4/12/20,155,5,19
4/13/20,156,5,19
4/14/20,167,5,19
4/15/20,180,5,19
4/16/20,196,5,19
4/17/20,214,7,21
4/18/20,235,7,21
4/19/20,257,7,21
4/20/20,289,7,21
4/21/20,294,7,24
4/22/20,316,8,24
4/23/20,384,11,30
4/24/20,430,11,30
4/25/20,473,13,45
4/26/20,500,15,49
4/27/20,530,15,49
4/28/20,530,15,49
4/29/20,557,16,62
4/30/20,599,16,66
5/1/20,644,16,72
5/2/20,688,17,72
5/3/20,703,17,72
5/4/20,730,19,79
5/5/20,763,19,79
5/6/20,798,21,86
5/7/20,832,23,90
5/8/20,900,24,101
5/9/20,967,24,104
5/10/20,1052,26,110
5/11/20,1114,26,111
5/12/20,1199,27,120
5/13/20,1342,29,121
5/14/20,1518,29,129
5/15/20,1643,30,135
5/16/20,1763,33,138
5/17/20,1763,33,138
5/18/20,1912,35,138
5/19/20,2133,43,155
5/20/20,2265,45,159
5/21/20,2512,48,222
5/22/20,2743,51,222
5/23/20,3054,55,244
5/24/20,3424,58,258
5/25/20,3760,59,274
5/26/20,3954,63,289
5/27/20,4145,68,493
5/28/20,4348,80,565
5/29/20,4607,90,648
5/30/20,4739,102,706
5/31/20,5087,108,735
6/1/20,5336,116,795
6/2/20,5586,123,824
6/3/20,5760,143,929
6/4/20,6154,158,979
6/5/20,6485,216,1053
6/6/20,6792,230,1133
6/7/20,7055,252,1261
6/8/20,7502,267,1323
6/9/20,7866,289,1413
6/10/20,8221,316,1504
6/11/20,8561,334,1567
6/12/20,8982,351,1702
6/13/20,9491,367,1804
6/14/20,9845,384,1886
6/15/20,10272,399,1966
6/16/20,10706,418,2096
6/17/20,11251,432,2200
