Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,0,0,0
3/25/20,2,0,0
3/26/20,2,0,0
3/27/20,2,0,0
3/28/20,2,0,0
3/29/20,2,0,0
3/30/20,8,0,0
3/31/20,8,0,0
4/1/20,9,0,0
4/2/20,9,0,0
4/3/20,15,0,0
4/4/20,18,0,0
4/5/20,18,0,0
4/6/20,18,0,0
4/7/20,33,0,0
4/8/20,33,0,0
4/9/20,36,0,0
4/10/20,36,0,0
4/11/20,38,0,0
4/12/20,38,0,0
4/13/20,38,0,0
4/14/20,38,0,0
4/15/20,43,0,0
4/16/20,43,0,0
4/17/20,43,0,0
4/18/20,46,0,0
4/19/20,50,0,3
4/20/20,50,0,3
4/21/20,50,0,3
4/22/20,50,0,3
4/23/20,50,0,3
4/24/20,52,0,3
4/25/20,52,0,3
4/26/20,53,1,3
4/27/20,73,1,18
4/28/20,73,1,18
4/29/20,205,1,19
4/30/20,205,1,19
5/1/20,257,1,19
5/2/20,257,1,19
5/3/20,257,1,19
5/4/20,413,1,19
5/5/20,413,1,19
5/6/20,475,2,24
5/7/20,564,2,25
5/8/20,594,2,25
5/9/20,641,3,25
5/10/20,726,3,26
5/11/20,761,3,26
5/12/20,820,3,26
5/13/20,836,3,26
5/14/20,913,3,26
5/15/20,913,3,26
5/16/20,969,4,26
5/17/20,990,4,26
5/18/20,1032,4,38
5/19/20,1038,6,42
5/20/20,1089,6,42
5/21/20,1109,6,42
5/22/20,1114,6,42
5/23/20,1114,6,42
5/24/20,1114,6,42
5/25/20,1178,7,42
5/26/20,1178,7,42
5/27/20,1195,7,42
5/28/20,1195,8,42
5/29/20,1256,8,42
5/30/20,1256,8,42
5/31/20,1256,8,42
6/1/20,1339,8,53
6/2/20,1339,8,53
6/3/20,1339,8,53
6/4/20,1339,8,53
6/5/20,1368,12,153
6/6/20,1368,12,153
6/7/20,1368,12,153
6/8/20,1389,12,153
6/9/20,1389,12,153
6/10/20,1389,12,153
6/11/20,1389,12,153
6/12/20,1460,15,153
6/13/20,1460,15,153
6/14/20,1460,15,153
6/15/20,1492,15,153
6/16/20,1492,15,153
6/17/20,1492,15,153
