Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,1,0,0
3/20/20,1,0,0
3/21/20,2,0,0
3/22/20,2,0,0
3/23/20,4,0,0
3/24/20,4,0,0
3/25/20,4,0,0
3/26/20,4,0,0
3/27/20,8,0,0
3/28/20,8,0,0
3/29/20,16,0,0
3/30/20,22,0,0
3/31/20,22,0,0
4/1/20,30,0,0
4/2/20,52,0,0
4/3/20,73,0,2
4/4/20,111,0,5
4/5/20,121,0,5
4/6/20,128,0,5
4/7/20,144,0,5
4/8/20,164,0,5
4/9/20,194,0,11
4/10/20,212,0,15
4/11/20,250,0,17
4/12/20,250,0,17
4/13/20,319,0,17
4/14/20,363,0,31
4/15/20,404,1,31
4/16/20,438,1,49
4/17/20,477,3,59
4/18/20,518,3,65
4/19/20,579,5,87
4/20/20,622,5,122
4/21/20,688,6,127
4/22/20,761,6,164
4/23/20,862,6,170
4/24/20,954,6,191
4/25/20,996,7,208
4/26/20,996,7,208
4/27/20,1163,7,246
4/28/20,1240,7,269
4/29/20,1351,7,313
4/30/20,1495,7,329
5/1/20,1537,7,342
5/2/20,1586,7,405
5/3/20,1586,7,405
5/4/20,1710,9,450
5/5/20,1811,10,498
5/6/20,1856,11,597
5/7/20,1927,11,629
5/8/20,2009,11,663
5/9/20,2042,11,698
5/10/20,2146,11,714
5/11/20,2146,11,714
5/12/20,2298,11,816
5/13/20,2374,14,856
5/14/20,2473,15,895
5/15/20,2473,15,895
5/16/20,2658,16,1133
5/17/20,2658,16,1133
5/18/20,2796,16,1263
5/19/20,2863,18,1525
5/20/20,2863,18,1525
5/21/20,3067,18,1575
5/22/20,3067,19,1575
5/23/20,3176,20,1631
5/24/20,3275,20,1673
5/25/20,3275,20,1673
5/26/20,3275,20,1673
5/27/20,3275,20,1673
5/28/20,3553,22,1950
5/29/20,3656,22,2000
5/30/20,3706,23,2030
5/31/20,3706,23,2030
6/1/20,3844,23,2135
6/2/20,3886,23,2267
6/3/20,3933,23,2332
6/4/20,3991,23,2512
6/5/20,4060,23,2667
6/6/20,4117,23,2857
6/7/20,4117,23,2877
6/8/20,4216,23,2918
6/9/20,4258,23,2942
6/10/20,4258,23,2942
6/11/20,4372,23,3033
6/12/20,4426,24,3106
6/13/20,4484,25,3213
6/14/20,4532,25,3234
6/15/20,4572,26,3259
6/16/20,4639,26,3327
6/17/20,4668,26,3364
