Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,1,1,0
3/13/20,1,1,0
3/14/20,1,1,0
3/15/20,4,1,0
3/16/20,4,1,0
3/17/20,7,1,0
3/18/20,7,1,0
3/19/20,7,1,0
3/20/20,7,1,0
3/21/20,7,1,0
3/22/20,19,1,0
3/23/20,20,1,0
3/24/20,5,1,0
3/25/20,5,1,0
3/26/20,5,1,0
3/27/20,5,1,0
3/28/20,8,1,0
3/29/20,8,1,0
3/30/20,8,1,0
3/31/20,12,2,0
4/1/20,19,2,0
4/2/20,19,4,0
4/3/20,23,4,0
4/4/20,23,4,0
4/5/20,24,4,0
4/6/20,31,4,8
4/7/20,33,5,8
4/8/20,37,6,8
4/9/20,37,6,8
4/10/20,37,6,8
4/11/20,45,6,8
4/12/20,45,6,8
4/13/20,45,6,8
4/14/20,47,6,8
4/15/20,55,6,8
4/16/20,55,6,8
4/17/20,63,6,9
4/18/20,63,6,9
4/19/20,65,7,9
4/20/20,65,7,9
4/21/20,66,7,9
4/22/20,67,7,9
4/23/20,70,7,9
4/24/20,73,7,12
4/25/20,73,7,12
4/26/20,74,8,12
4/27/20,74,8,15
4/28/20,74,8,15
4/29/20,78,8,18
4/30/20,82,9,22
5/1/20,82,9,22
5/2/20,82,9,22
5/3/20,82,9,22
5/4/20,92,9,27
5/5/20,93,10,27
5/6/20,93,10,27
5/7/20,93,10,27
5/8/20,94,10,35
5/9/20,94,10,35
5/10/20,104,10,35
5/11/20,109,10,36
5/12/20,113,10,36
5/13/20,113,10,41
5/14/20,113,10,42
5/15/20,116,10,43
5/16/20,117,10,43
5/17/20,117,10,43
5/18/20,124,10,44
5/19/20,125,10,46
5/20/20,125,10,47
5/21/20,127,10,57
5/22/20,127,10,57
5/23/20,127,10,58
5/24/20,135,10,62
5/25/20,137,11,62
5/26/20,139,11,62
5/27/20,139,11,67
5/28/20,150,11,67
5/29/20,150,11,67
5/30/20,152,12,67
5/31/20,153,12,70
6/1/20,153,12,70
6/2/20,153,12,70
6/3/20,153,12,70
6/4/20,153,12,77
6/5/20,153,12,77
6/6/20,154,12,80
6/7/20,154,12,80
6/8/20,154,12,84
6/9/20,156,12,86
6/10/20,156,12,92
6/11/20,158,12,92
6/12/20,159,12,95
6/13/20,159,12,95
6/14/20,159,12,99
6/15/20,159,12,99
6/16/20,171,12,99
6/17/20,171,12,102
