Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,2,0,0
3/21/20,2,0,0
3/22/20,2,0,0
3/23/20,6,0,0
3/24/20,7,0,0
3/25/20,8,0,0
3/26/20,8,0,0
3/27/20,8,0,0
3/28/20,8,0,0
3/29/20,15,0,1
3/30/20,15,0,1
3/31/20,15,0,1
4/1/20,16,0,1
4/2/20,16,0,1
4/3/20,18,0,1
4/4/20,20,0,1
4/5/20,21,1,1
4/6/20,24,1,0
4/7/20,25,1,0
4/8/20,27,1,0
4/9/20,30,2,0
4/10/20,31,2,0
4/11/20,33,2,0
4/12/20,33,3,0
4/13/20,40,3,0
4/14/20,40,3,0
4/15/20,41,3,0
4/16/20,41,3,0
4/17/20,43,3,0
4/18/20,44,3,0
4/19/20,47,3,0
4/20/20,57,3,0
4/21/20,57,3,0
4/22/20,62,4,2
4/23/20,72,5,2
4/24/20,72,5,2
4/25/20,72,6,6
4/26/20,74,6,7
4/27/20,76,6,8
4/28/20,76,6,8
4/29/20,76,6,8
4/30/20,81,8,8
5/1/20,85,8,10
5/2/20,85,8,10
5/3/20,88,9,10
5/4/20,100,11,10
5/5/20,101,12,10
5/6/20,101,12,10
5/7/20,129,12,16
5/8/20,146,12,17
5/9/20,151,12,17
5/10/20,182,15,17
5/11/20,209,16,17
5/12/20,209,16,17
5/13/20,234,18,17
5/14/20,273,20,18
5/15/20,310,20,29
5/16/20,358,20,29
5/17/20,456,20,21
5/18/20,533,21,21
5/19/20,533,21,21
5/20/20,596,22,21
5/21/20,734,25,21
5/22/20,812,25,22
5/23/20,865,26,22
5/24/20,865,26,22
5/25/20,958,27,22
5/26/20,1174,33,22
5/27/20,1320,34,22
5/28/20,1320,34,22
5/29/20,1584,35,22
5/30/20,1865,41,24
5/31/20,2124,44,24
6/1/20,2226,45,24
6/2/20,2226,45,24
6/3/20,2507,48,24
6/4/20,2640,50,24
6/5/20,2740,50,24
6/6/20,3072,50,24
6/7/20,3334,51,24
6/8/20,3538,54,24
6/9/20,3662,56,24
6/10/20,3796,58,24
6/11/20,3941,64,24
6/12/20,3941,64,24
6/13/20,4165,70,24
6/14/20,4165,70,24
6/15/20,4441,76,24
6/16/20,4547,80,24
6/17/20,4688,82,24
