Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,2,0,0
3/12/20,2,0,0
3/13/20,2,0,0
3/14/20,2,0,0
3/15/20,3,0,0
3/16/20,6,0,0
3/17/20,8,0,0
3/18/20,9,0,0
3/19/20,12,0,0
3/20/20,24,0,0
3/21/20,24,0,0
3/22/20,26,0,0
3/23/20,30,0,0
3/24/20,30,0,0
3/25/20,36,0,0
3/26/20,52,1,0
3/27/20,68,1,0
3/28/20,95,1,3
3/29/20,110,3,3
3/30/20,139,7,3
3/31/20,141,7,3
4/1/20,172,10,3
4/2/20,219,14,3
4/3/20,222,15,3
4/4/20,264,15,3
4/5/20,268,22,6
4/6/20,298,22,6
4/7/20,305,22,6
4/8/20,312,22,6
4/9/20,343,23,6
4/10/20,382,23,7
4/11/20,392,24,7
4/12/20,393,25,7
4/13/20,397,25,7
4/14/20,407,26,7
4/15/20,419,31,9
4/16/20,426,35,9
4/17/20,442,41,10
4/18/20,457,46,10
4/19/20,472,46,15
4/20/20,477,46,25
4/21/20,494,46,29
4/22/20,510,46,30
4/23/20,519,47,31
4/24/20,591,55,58
4/25/20,627,59,65
4/26/20,627,59,65
4/27/20,661,61,79
4/28/20,702,64,79
4/29/20,738,66,73
4/30/20,771,71,79
5/1/20,804,75,112
5/2/20,1010,76,116
5/3/20,1055,82,118
5/4/20,1178,83,122
5/5/20,1270,93,122
5/6/20,1461,99,132
5/7/20,1685,105,154
5/8/20,1771,107,192
5/9/20,1830,108,195
5/10/20,1972,108,203
5/11/20,2100,116,206
5/12/20,2080,121,211
5/13/20,2255,123,237
5/14/20,2318,133,253
5/15/20,2460,134,264
5/16/20,2565,138,278
5/17/20,2646,142,319
5/18/20,2798,146,340
5/19/20,2955,147,349
5/20/20,2955,147,349
5/21/20,3204,156,397
5/22/20,3477,167,439
5/23/20,3477,167,439
5/24/20,3950,180,468
5/25/20,4189,182,473
5/26/20,4401,188,493
5/27/20,4640,194,506
5/28/20,4752,196,519
5/29/20,4752,196,519
5/30/20,5094,201,536
5/31/20,5202,212,537
6/1/20,5362,217,549
6/2/20,5527,225,563
6/3/20,5690,234,617
6/4/20,5880,243,648
6/5/20,5971,248,677
6/6/20,6155,250,697
6/7/20,6327,258,712
6/8/20,6450,262,740
6/9/20,6935,271,787
6/10/20,7360,290,809
6/11/20,7669,294,837
6/12/20,8132,306,844
6/13/20,8455,310,894
6/14/20,8858,312,967
6/15/20,9178,322,1025
6/16/20,9656,330,1075
6/17/20,10299,336,1116
