Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,2,0,0
3/5/20,2,0,0
3/6/20,2,0,0
3/7/20,4,0,0
3/8/20,7,0,0
3/9/20,9,0,0
3/10/20,9,0,0
3/11/20,13,0,0
3/12/20,13,0,0
3/13/20,19,0,0
3/14/20,30,0,1
3/15/20,32,1,1
3/16/20,39,1,1
3/17/20,50,1,2
3/18/20,58,1,2
3/19/20,73,1,2
3/20/20,85,3,2
3/21/20,103,4,7
3/22/20,131,6,16
3/23/20,167,7,16
3/24/20,187,9,21
3/25/20,226,10,21
3/26/20,261,10,28
3/27/20,300,10,34
3/28/20,343,11,34
3/29/20,408,13,34
3/30/20,447,15,34
3/31/20,492,16,37
4/1/20,525,20,40
4/2/20,585,21,42
4/3/20,623,26,43
4/4/20,678,32,58
4/5/20,733,34,66
4/6/20,744,38,67
4/7/20,817,47,71
4/8/20,895,58,94
4/9/20,980,66,96
4/10/20,1190,77,112
4/11/20,1310,85,115
4/12/20,1410,99,118
4/13/20,1458,109,120
4/14/20,1512,122,122
4/15/20,1579,134,192
4/16/20,1652,142,199
4/17/20,1763,156,207
4/18/20,1834,172,231
4/19/20,1916,189,250
4/20/20,1984,199,267
4/21/20,2098,213,287
4/22/20,2168,225,295
4/23/20,2284,239,390
4/24/20,2443,262,458
4/25/20,2443,262,458
4/26/20,2500,272,485
4/27/20,2583,280,498
4/28/20,2649,291,516
4/29/20,2727,300,536
4/30/20,2775,312,581
5/1/20,2863,323,609
5/2/20,2942,335,625
5/3/20,2998,340,629
5/4/20,3035,351,630
5/5/20,3065,363,709
5/6/20,3111,373,759
5/7/20,3150,383,801
5/8/20,3178,392,865
5/9/20,3213,405,904
5/10/20,3263,413,933
5/11/20,3284,421,958
5/12/20,3313,425,1007
5/13/20,3341,430,1102
5/14/20,3380,436,1169
5/15/20,3417,442,1287
5/16/20,3473,448,1371
5/17/20,3509,451,1396
5/18/20,3535,462,1400
5/19/20,3556,467,1412
5/20/20,3598,470,1454
5/21/20,3641,473,1509
5/22/20,3678,476,1587
5/23/20,3713,482,1655
5/24/20,3741,486,1690
5/25/20,3756,491,1711
5/26/20,3771,499,1836
5/27/20,3793,505,1856
5/28/20,3816,509,1996
5/29/20,3841,517,2024
5/30/20,3867,524,2142
5/31/20,3876,526,2147
6/1/20,3892,527,2156
6/2/20,3921,532,2160
6/3/20,3931,534,2190
6/4/20,3954,539,2205
6/5/20,3970,542,2245
6/6/20,3990,545,2279
6/7/20,4008,546,2279
6/8/20,4014,548,2284
6/9/20,4017,550,2324
6/10/20,4027,551,2355
6/11/20,4039,553,2391
6/12/20,4053,555,2447
6/13/20,4064,559,2476
6/14/20,4069,562,2482
6/15/20,4076,563,2485
6/16/20,4077,565,2516
6/17/20,4078,567,2547
