Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,3,0,0
3/2/20,6,0,0
3/3/20,11,0,0
3/4/20,26,0,0
3/5/20,34,0,0
3/6/20,43,0,0
3/7/20,50,0,0
3/8/20,50,0,0
3/9/20,58,0,0
3/10/20,69,0,1
3/11/20,85,0,1
3/12/20,103,0,1
3/13/20,134,0,1
3/14/20,156,0,1
3/15/20,171,5,8
3/16/20,180,0,0
3/17/20,220,1,0
3/18/20,250,1,5
3/19/20,330,1,5
3/20/20,409,0,5
3/21/20,473,1,22
3/22/20,568,1,36
3/23/20,588,1,36
3/24/20,648,2,51
3/25/20,737,2,56
3/26/20,802,2,82
3/27/20,890,2,97
3/28/20,963,2,114
3/29/20,1020,2,135
3/30/20,1086,2,157
3/31/20,1135,2,198
4/1/20,1220,2,225
4/2/20,1319,4,284
4/3/20,1364,4,309
4/4/20,1417,4,396
4/5/20,1486,4,428
4/6/20,1562,6,460
4/7/20,1586,6,559
4/8/20,1616,6,633
4/9/20,1648,6,688
4/10/20,1675,7,751
4/11/20,1689,8,841
4/12/20,1701,8,889
4/13/20,1711,8,933
4/14/20,1720,8,989
4/15/20,1727,8,1077
4/16/20,1739,8,1144
4/17/20,1754,9,1224
4/18/20,1760,9,1291
4/19/20,1771,9,1291
4/20/20,1773,10,1362
4/21/20,1778,10,1417
4/22/20,1785,10,1462
4/23/20,1789,10,1509
4/24/20,1789,10,1542
4/25/20,1790,10,1570
4/26/20,1792,10,1608
4/27/20,1792,10,1624
4/28/20,1795,10,1636
4/29/20,1797,10,1656
4/30/20,1797,10,1670
5/1/20,1798,10,1689
5/2/20,1798,10,1706
5/3/20,1799,10,1717
5/4/20,1799,10,1723
5/5/20,1799,10,1733
5/6/20,1799,10,1750
5/7/20,1801,10,1755
5/8/20,1801,10,1765
5/9/20,1801,10,1773
5/10/20,1801,10,1773
5/11/20,1801,10,1773
5/12/20,1801,10,1776
5/13/20,1802,10,1780
5/14/20,1802,10,1780
5/15/20,1802,10,1782
5/16/20,1802,10,1786
5/17/20,1802,10,1786
5/18/20,1802,10,1786
5/19/20,1802,10,1789
5/20/20,1803,10,1789
5/21/20,1803,10,1790
5/22/20,1803,10,1791
5/23/20,1804,10,1791
5/24/20,1804,10,1791
5/25/20,1804,10,1791
5/26/20,1804,10,1792
5/27/20,1805,10,1792
5/28/20,1805,10,1792
5/29/20,1805,10,1794
5/30/20,1806,10,1794
5/31/20,1806,10,1794
6/1/20,1806,10,1794
6/2/20,1806,10,1794
6/3/20,1806,10,1794
6/4/20,1806,10,1794
6/5/20,1806,10,1794
6/6/20,1806,10,1794
6/7/20,1807,10,1794
6/8/20,1807,10,1794
6/9/20,1807,10,1794
6/10/20,1807,10,1794
6/11/20,1807,10,1794
6/12/20,1807,10,1794
6/13/20,1808,10,1794
6/14/20,1810,10,1796
6/15/20,1810,10,1796
6/16/20,1812,10,1796
6/17/20,1815,10,1797
