Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,2,0,0
3/3/20,2,0,0
3/4/20,2,0,0
3/5/20,2,0,0
3/6/20,4,0,0
3/7/20,4,0,0
3/8/20,6,0,0
3/9/20,19,0,0
3/10/20,27,0,2
3/11/20,34,1,2
3/12/20,34,1,2
3/13/20,69,4,2
3/14/20,96,5,8
3/15/20,117,5,8
3/16/20,134,5,8
3/17/20,172,5,8
3/18/20,227,19,11
3/19/20,311,25,11
3/20/20,369,32,15
3/21/20,450,38,15
3/22/20,514,48,29
3/23/20,579,49,29
3/24/20,686,55,30
3/25/20,790,58,31
3/26/20,893,78,35
3/27/20,1046,87,46
3/28/20,1155,102,59
3/29/20,1285,114,64
3/30/20,1414,122,75
3/31/20,1528,136,81
4/1/20,1677,157,103
4/2/20,1790,170,112
4/3/20,1986,181,134
4/4/20,2092,191,150
4/5/20,2273,198,164
4/6/20,2491,209,192
4/7/20,2738,221,204
4/8/20,2956,240,222
4/9/20,3293,280,252
4/10/20,3512,306,282
4/11/20,3842,327,286
4/12/20,4241,373,359
4/13/20,4557,399,380
4/14/20,4839,459,426
4/15/20,5136,469,446
4/16/20,5516,496,548
4/17/20,5923,520,607
4/18/20,6248,535,631
4/19/20,6575,582,686
4/20/20,6760,590,747
4/21/20,7135,616,842
4/22/20,7418,635,913
4/23/20,7775,647,960
4/24/20,8211,689,1002
4/25/20,8607,720,1042
4/26/20,8882,743,1107
4/27/20,9096,765,1151
4/28/20,9511,773,1254
4/29/20,9771,784,1391
4/30/20,10118,792,1522
5/1/20,10551,800,1591
5/2/20,10843,831,1665
5/3/20,11192,845,1876
5/4/20,11587,864,1954
5/5/20,12071,872,2197
5/6/20,12438,895,2317
5/7/20,12776,930,2381
5/8/20,13112,943,2494
5/9/20,13645,959,2607
5/10/20,14032,973,2698
5/11/20,14265,991,2881
5/12/20,14749,1007,3063
5/13/20,15438,1028,3287
5/14/20,16006,1043,3518
5/15/20,16496,1076,3803
5/16/20,17025,1089,3911
5/17/20,17514,1148,4129
5/18/20,18010,1191,4324
5/19/20,18496,1221,4467
5/20/20,19189,1242,4575
5/21/20,20162,1278,4838
5/22/20,20796,1326,5057
5/23/20,21745,1351,5249
5/24/20,22271,1372,5402
5/25/20,22750,1391,5642
5/26/20,23165,1418,5877
5/27/20,23851,1473,6057
5/28/20,24538,1496,6240
5/29/20,25216,1520,6492
5/30/20,25773,1573,7015
5/31/20,26473,1613,7308
6/1/20,26940,1641,7637
6/2/20,27549,1663,7935
6/3/20,28233,1698,8406
6/4/20,28818,1721,8892
6/5/20,29521,1770,9443
6/6/20,30514,1801,9907
6/7/20,31186,1851,10498
6/8/20,32033,1883,10904
6/9/20,33076,1923,11414
6/10/20,34316,1959,12129
6/11/20,35295,2000,12636
6/12/20,36406,2048,13213
6/13/20,37420,2091,13776
6/14/20,38277,2134,14531
6/15/20,39294,2198,15123
6/16/20,40400,2231,15703
6/17/20,41431,2276,16243
