Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,2,2,0
2/20/20,5,2,0
2/21/20,18,4,0
2/22/20,28,5,0
2/23/20,43,8,0
2/24/20,61,12,0
2/25/20,95,16,0
2/26/20,139,19,49
2/27/20,245,26,49
2/28/20,388,34,73
2/29/20,593,43,123
3/1/20,978,54,175
3/2/20,1501,66,291
3/3/20,2336,77,291
3/4/20,2922,92,552
3/5/20,3513,107,739
3/6/20,4747,124,913
3/7/20,5823,145,1669
3/8/20,6566,194,2134
3/9/20,7161,237,2394
3/10/20,8042,291,2731
3/11/20,9000,354,2959
3/12/20,10075,429,2959
3/13/20,11364,514,2959
3/14/20,12729,611,2959
3/15/20,13938,724,4590
3/16/20,14991,853,4590
3/17/20,16169,988,5389
3/18/20,17361,1135,5389
3/19/20,18407,1284,5710
3/20/20,19644,1433,6745
3/21/20,20610,1556,7635
3/22/20,21638,1685,7931
3/23/20,23049,1812,7931
3/24/20,24811,1934,8913
3/25/20,27017,2077,9625
3/26/20,29406,2234,10457
3/27/20,32332,2378,11133
3/28/20,35408,2517,11679
3/29/20,38309,2640,12391
3/30/20,41495,2757,13911
3/31/20,44605,2898,14656
4/1/20,47593,3036,15473
4/2/20,50468,3160,16711
4/3/20,53183,3294,17935
4/4/20,55743,3452,19736
4/5/20,58226,3603,19736
4/6/20,60500,3739,24236
4/7/20,62589,3872,27039
4/8/20,64586,3993,29812
4/9/20,66220,4110,32309
4/10/20,68192,4232,35465
4/11/20,70029,4357,41947
4/12/20,71686,4474,43894
4/13/20,73303,4585,45983
4/14/20,74877,4683,48129
4/15/20,76389,4777,49933
4/16/20,77995,4869,52229
4/17/20,79494,4958,54064
4/18/20,80868,5031,55987
4/19/20,82211,5118,57023
4/20/20,83505,5209,59273
4/21/20,84802,5297,60965
4/22/20,85996,5391,63113
4/23/20,87026,5481,64843
4/24/20,88194,5574,66599
4/25/20,89328,5650,68193
4/26/20,90481,5710,69657
4/27/20,91472,5806,70933
4/28/20,92584,5877,72439
4/29/20,93657,5957,73791
4/30/20,94640,6028,75103
5/1/20,95646,6091,76318
5/2/20,96448,6156,77350
5/3/20,97424,6203,78422
5/4/20,98647,6277,79379
5/5/20,99970,6340,80475
5/6/20,101650,6418,81587
5/7/20,103135,6486,82744
5/8/20,104691,6541,83837
5/9/20,106220,6589,85064
5/10/20,107603,6640,86143
5/11/20,109286,6685,87422
5/12/20,110767,6733,88357
5/13/20,112725,6783,89428
5/14/20,114533,6854,90539
5/15/20,116635,6902,91836
5/16/20,118392,6937,93147
5/17/20,120198,6988,94464
5/18/20,122492,7057,95661
5/19/20,124603,7119,97173
5/20/20,126949,7183,98808
5/21/20,129341,7249,100564
5/22/20,131652,7300,102276
5/23/20,133521,7359,104072
5/24/20,135701,7417,105801
5/25/20,137724,7451,107713
5/26/20,139511,7508,109437
5/27/20,141591,7564,111176
5/28/20,143849,7627,112988
5/29/20,146668,7677,114931
5/30/20,148950,7734,116827
5/31/20,151466,7797,118848
6/1/20,154445,7878,121004
6/2/20,157562,7942,123077
6/3/20,160696,8012,125206
6/4/20,164270,8071,127485
6/5/20,167156,8134,129741
6/6/20,169425,8209,132038
6/7/20,171789,8281,134349
6/8/20,173832,8351,136360
6/9/20,175927,8425,138457
6/10/20,177938,8506,140590
6/11/20,180156,8584,142663
6/12/20,182525,8659,144649
6/13/20,184955,8730,146748
6/14/20,187427,8837,148674
6/15/20,189876,8950,150590
6/16/20,192439,9065,152675
6/17/20,195051,9185,154812
