Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,1,0,0
2/25/20,1,0,0
2/26/20,5,0,0
2/27/20,7,0,0
2/28/20,7,0,0
2/29/20,13,0,0
3/1/20,19,0,0
3/2/20,26,0,0
3/3/20,32,0,0
3/4/20,35,2,0
3/5/20,35,2,0
3/6/20,40,3,0
3/7/20,54,4,0
3/8/20,60,6,0
3/9/20,60,6,3
3/10/20,71,7,3
3/11/20,71,7,15
3/12/20,71,8,15
3/13/20,101,9,24
3/14/20,110,10,26
3/15/20,116,10,26
3/16/20,124,10,26
3/17/20,154,11,32
3/18/20,164,12,43
3/19/20,192,13,43
3/20/20,208,17,49
3/21/20,214,17,51
3/22/20,233,20,57
3/23/20,266,23,57
3/24/20,316,27,75
3/25/20,346,29,103
3/26/20,382,36,105
3/27/20,458,40,122
3/28/20,506,42,131
3/29/20,547,42,143
3/30/20,630,46,152
3/31/20,694,50,170
4/1/20,728,52,182
4/2/20,772,54,202
4/3/20,820,54,226
4/4/20,878,56,259
4/5/20,961,61,279
4/6/20,1031,64,344
4/7/20,1122,65,373
4/8/20,1202,69,452
4/9/20,1232,69,496
4/10/20,1279,70,550
4/11/20,1318,72,601
4/12/20,1352,76,640
4/13/20,1378,78,717
4/14/20,1400,78,766
4/15/20,1415,79,812
4/16/20,1434,80,856
4/17/20,1482,81,906
4/18/20,1513,82,953
4/19/20,1539,82,1009
4/20/20,1574,82,1043
4/21/20,1602,83,1096
4/22/20,1631,83,1146
4/23/20,1677,83,1171
4/24/20,1708,86,1204
4/25/20,1763,86,1224
4/26/20,1820,87,1263
4/27/20,1847,88,1286
4/28/20,1928,90,1319
4/29/20,2003,92,1346
4/30/20,2085,93,1375
5/1/20,2153,94,1414
5/2/20,2219,95,1473
5/3/20,2296,97,1490
5/4/20,2346,98,1544
5/5/20,2431,102,1571
5/6/20,2480,102,1602
5/7/20,2543,102,1626
5/8/20,2603,104,1661
5/9/20,2679,107,1702
5/10/20,2767,109,1734
5/11/20,2818,110,1790
5/12/20,2913,112,1903
5/13/20,3032,115,1966
5/14/20,3143,115,2028
5/15/20,3193,117,2089
5/16/20,3260,121,2126
5/17/20,3404,123,2218
5/18/20,3554,127,2310
5/19/20,3611,131,2366
5/20/20,3724,134,2438
5/21/20,3877,140,2483
5/22/20,3964,147,2532
5/23/20,4272,152,2585
5/24/20,4469,160,2738
5/25/20,4632,163,2811
5/26/20,4848,169,2852
5/27/20,5135,175,2904
5/28/20,5457,179,2971
5/29/20,5873,185,3044
5/30/20,6179,195,3110
5/31/20,6439,205,3156
6/1/20,6868,215,3275
6/2/20,7387,235,3508
6/3/20,8168,256,4095
6/4/20,8840,271,4338
6/5/20,9846,285,4573
6/6/20,11098,318,4904
6/7/20,12366,346,5186
6/8/20,13481,370,5572
6/9/20,14268,392,5831
6/10/20,15414,426,6214
6/11/20,16675,457,6568
6/12/20,17770,496,6868
6/13/20,18950,549,7515
6/14/20,20209,607,8121
6/15/20,21315,652,9271
6/16/20,22700,712,9862
6/17/20,24254,773,10770
