Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,1,0,0
2/22/20,1,0,0
2/23/20,1,0,0
2/24/20,1,0,0
2/25/20,1,0,0
2/26/20,2,0,0
2/27/20,3,0,1
2/28/20,4,0,1
2/29/20,7,0,1
3/1/20,10,0,1
3/2/20,10,0,1
3/3/20,12,0,1
3/4/20,15,0,1
3/5/20,20,0,1
3/6/20,37,0,2
3/7/20,43,0,2
3/8/20,61,0,2
3/9/20,61,0,2
3/10/20,75,0,4
3/11/20,79,0,4
3/12/20,100,0,4
3/13/20,126,0,4
3/14/20,155,0,4
3/15/20,213,0,4
3/16/20,218,0,4
3/17/20,250,0,11
3/18/20,304,0,11
3/19/20,427,0,11
3/20/20,529,0,14
3/21/20,712,1,36
3/22/20,883,1,37
3/23/20,1071,1,37
3/24/20,1238,3,53
3/25/20,2369,5,58
3/26/20,2693,8,68
3/27/20,3035,12,79
3/28/20,3619,12,89
3/29/20,4247,15,132
3/30/20,4695,16,161
3/31/20,5358,20,224
4/1/20,6092,26,241
4/2/20,6857,36,338
4/3/20,7428,40,403
4/4/20,7851,44,427
4/5/20,8430,49,477
4/6/20,8904,57,585
4/7/20,9248,65,770
4/8/20,9404,73,801
4/9/20,9968,86,1011
4/10/20,10408,95,1183
4/11/20,10743,101,1341
4/12/20,11145,103,1627
4/13/20,11586,116,1855
4/14/20,12046,123,2195
4/15/20,12501,130,2563
4/16/20,12758,142,2818
4/17/20,12982,151,3126
4/18/20,13265,164,3456
4/19/20,13491,172,3754
4/20/20,13713,177,4049
4/21/20,13942,184,4507
4/22/20,14498,189,5215
4/23/20,14803,192,5611
4/24/20,15058,194,6003
4/25/20,15298,199,6435
4/26/20,15443,201,6731
4/27/20,15555,204,7200
4/28/20,15728,210,7746
4/29/20,15834,215,8233
4/30/20,15946,222,8561
5/1/20,16101,225,9156
5/2/20,16185,229,9593
5/3/20,16208,232,9749
5/4/20,16246,235,10064
5/5/20,16289,238,10465
5/6/20,16310,239,10637
5/7/20,16381,240,10873
5/8/20,16436,245,11229
5/9/20,16454,247,11376
5/10/20,16477,252,11430
5/11/20,16506,258,11843
5/12/20,16529,260,12083
5/13/20,16548,264,12232
5/14/20,16579,265,12521
5/15/20,16589,266,12587
5/16/20,16608,268,12855
5/17/20,16617,272,12942
5/18/20,16643,276,13253
5/19/20,16659,278,13435
5/20/20,16667,279,13504
5/21/20,16683,279,13724
5/22/20,16690,279,13915
5/23/20,16712,279,14090
5/24/20,16717,279,14153
5/25/20,16734,281,14307
5/26/20,16757,281,14457
5/27/20,16793,281,14570
5/28/20,16872,284,14679
5/29/20,16987,284,14776
5/30/20,17012,284,14811
5/31/20,17071,285,14812
6/1/20,17169,285,14878
6/2/20,17285,290,14940
6/3/20,17377,291,14983
6/4/20,17495,291,15013
6/5/20,17562,291,15026
6/6/20,17752,295,15042
6/7/20,17863,298,15091
6/8/20,18032,298,15102
6/9/20,18180,299,15159
6/10/20,18355,299,15168
6/11/20,18569,300,15250
6/12/20,18795,300,15288
6/13/20,18972,300,15357
6/14/20,19055,300,15375
6/15/20,19237,302,15415
6/16/20,19495,302,15449
6/17/20,19783,303,15459
