Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,2,0,0
2/1/20,2,0,0
2/2/20,2,0,0
2/3/20,2,0,0
2/4/20,2,0,0
2/5/20,2,0,0
2/6/20,2,0,0
2/7/20,3,0,0
2/8/20,3,0,0
2/9/20,3,0,0
2/10/20,3,0,0
2/11/20,3,0,0
2/12/20,3,0,0
2/13/20,3,0,0
2/14/20,3,0,0
2/15/20,3,0,0
2/16/20,3,0,0
2/17/20,3,0,0
2/18/20,3,0,0
2/19/20,3,0,0
2/20/20,3,0,0
2/21/20,20,1,0
2/22/20,62,2,1
2/23/20,155,3,2
2/24/20,229,7,1
2/25/20,322,10,1
2/26/20,453,12,3
2/27/20,655,17,45
2/28/20,888,21,46
2/29/20,1128,29,46
3/1/20,1694,34,83
3/2/20,2036,52,149
3/3/20,2502,79,160
3/4/20,3089,107,276
3/5/20,3858,148,414
3/6/20,4636,197,523
3/7/20,5883,233,589
3/8/20,7375,366,622
3/9/20,9172,463,724
3/10/20,10149,631,724
3/11/20,12462,827,1045
3/12/20,15113,1016,1045
3/13/20,17660,1266,1439
3/14/20,21157,1441,1966
3/15/20,24747,1809,2335
3/16/20,27980,2158,2749
3/17/20,31506,2503,2941
3/18/20,35713,2978,4025
3/19/20,41035,3405,4440
3/20/20,47021,4032,4440
3/21/20,53578,4825,6072
3/22/20,59138,5476,7024
3/23/20,63927,6077,7024
3/24/20,69176,6820,8326
3/25/20,74386,7503,9362
3/26/20,80589,8215,10361
3/27/20,86498,9134,10950
3/28/20,92472,10023,12384
3/29/20,97689,10779,13030
3/30/20,101739,11591,14620
3/31/20,105792,12428,15729
4/1/20,110574,13155,16847
4/2/20,115242,13915,18278
4/3/20,119827,14681,19758
4/4/20,124632,15362,20996
4/5/20,128948,15887,21815
4/6/20,132547,16523,22837
4/7/20,135586,17127,24392
4/8/20,139422,17669,26491
4/9/20,143626,18279,28470
4/10/20,147577,18849,30455
4/11/20,152271,19468,32534
4/12/20,156363,19899,34211
4/13/20,159516,20465,35435
4/14/20,162488,21067,37130
4/15/20,165155,21645,38092
4/16/20,168941,22170,40164
4/17/20,172434,22745,42727
4/18/20,175925,23227,44927
4/19/20,178972,23660,47055
4/20/20,181228,24114,48877
4/21/20,183957,24648,51600
4/22/20,187327,25085,54543
4/23/20,189973,25549,57576
4/24/20,192994,25969,60498
4/25/20,195351,26384,63120
4/26/20,197675,26644,64928
4/27/20,199414,26977,66624
4/28/20,201505,27359,68941
4/29/20,203591,27682,71252
4/30/20,205463,27967,75945
5/1/20,207428,28236,78249
5/2/20,209328,28710,79914
5/3/20,210717,28884,81654
5/4/20,211938,29079,82879
5/5/20,213013,29315,85231
5/6/20,214457,29684,93245
5/7/20,215858,29958,96276
5/8/20,217185,30201,99023
5/9/20,218268,30395,103031
5/10/20,219070,30560,105186
5/11/20,219814,30739,106587
5/12/20,221216,30911,109039
5/13/20,222104,31106,112541
5/14/20,223096,31368,115288
5/15/20,223885,31610,120205
5/16/20,224760,31763,122810
5/17/20,225435,31908,125176
5/18/20,225886,32007,127326
5/19/20,226699,32169,129401
5/20/20,227364,32330,132282
5/21/20,228006,32486,134560
5/22/20,228658,32616,136720
5/23/20,229327,32735,138840
5/24/20,229858,32785,140479
5/25/20,230158,32877,141981
5/26/20,230555,32955,144658
5/27/20,231139,33072,147101
5/28/20,231732,33142,150604
5/29/20,232248,33229,152844
5/30/20,232664,33340,155633
5/31/20,232997,33415,157507
6/1/20,233197,33475,158355
6/2/20,233515,33530,160092
6/3/20,233836,33601,160938
6/4/20,234013,33689,161895
6/5/20,234531,33774,163781
6/6/20,234801,33846,165078
6/7/20,234998,33899,165837
6/8/20,235278,33964,166584
6/9/20,235561,34043,168646
6/10/20,235763,34114,169939
6/11/20,236142,34167,171338
6/12/20,236305,34223,173085
6/13/20,236651,34301,174865
6/14/20,236989,34345,176370
6/15/20,237290,34371,177010
6/16/20,237500,34405,178526
6/17/20,237828,34448,179455
