Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,1,0,0
3/12/20,2,0,0
3/13/20,8,0,0
3/14/20,8,0,0
3/15/20,10,0,0
3/16/20,10,0,2
3/17/20,12,0,2
3/18/20,13,0,2
3/19/20,15,1,2
3/20/20,16,1,2
3/21/20,16,1,2
3/22/20,19,1,2
3/23/20,19,1,2
3/24/20,21,1,2
3/25/20,26,1,2
3/26/20,26,1,2
3/27/20,26,1,2
3/28/20,30,1,2
3/29/20,32,1,2
3/30/20,36,1,2
3/31/20,36,1,2
4/1/20,44,3,2
4/2/20,47,3,2
4/3/20,47,3,2
4/4/20,53,3,7
4/5/20,58,3,8
4/6/20,58,3,8
4/7/20,63,3,8
4/8/20,63,4,10
4/9/20,63,4,12
4/10/20,63,4,13
4/11/20,65,4,13
4/12/20,69,4,13
4/13/20,73,4,19
4/14/20,73,4,19
4/15/20,125,5,21
4/16/20,143,5,21
4/17/20,143,5,25
4/18/20,163,5,25
4/19/20,173,5,27
4/20/20,223,5,27
4/21/20,223,6,27
4/22/20,233,6,27
4/23/20,257,6,28
4/24/20,288,7,28
4/25/20,305,7,28
4/26/20,350,7,28
4/27/20,364,7,29
4/28/20,364,7,29
4/29/20,396,7,29
4/30/20,422,8,29
5/1/20,432,8,31
5/2/20,463,8,33
5/3/20,469,9,38
5/4/20,471,9,38
5/5/20,473,9,56
5/6/20,478,9,57
5/7/20,488,9,58
5/8/20,490,9,62
5/9/20,490,9,62
5/10/20,502,9,90
5/11/20,505,9,90
5/12/20,507,9,100
5/13/20,509,9,113
5/14/20,509,9,118
5/15/20,511,9,121
5/16/20,517,9,121
5/17/20,520,9,127
5/18/20,520,9,131
5/19/20,520,9,145
5/20/20,529,9,171
5/21/20,534,9,181
5/22/20,544,9,191
5/23/20,550,9,200
5/24/20,552,9,211
5/25/20,556,9,238
5/26/20,564,9,267
5/27/20,569,9,279
5/28/20,569,9,284
5/29/20,575,9,289
5/30/20,581,9,290
5/31/20,586,9,311
6/1/20,588,9,322
6/2/20,590,9,356
6/3/20,591,10,361
6/4/20,591,10,368
6/5/20,595,10,385
6/6/20,596,10,404
6/7/20,598,10,405
6/8/20,599,10,405
6/9/20,605,10,405
6/10/20,605,10,407
6/11/20,611,10,408
6/12/20,614,10,417
6/13/20,615,10,420
6/14/20,617,10,420
6/15/20,621,10,430
6/16/20,621,10,449
6/17/20,626,10,451
