Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,4,0,1
1/27/20,4,0,1
1/28/20,7,0,1
1/29/20,7,0,1
1/30/20,11,0,1
1/31/20,15,0,1
2/1/20,20,0,1
2/2/20,20,0,1
2/3/20,20,0,1
2/4/20,22,0,1
2/5/20,22,0,1
2/6/20,22,0,1
2/7/20,25,0,1
2/8/20,25,0,1
2/9/20,26,0,1
2/10/20,26,0,4
2/11/20,26,0,9
2/12/20,28,0,9
2/13/20,28,1,9
2/14/20,29,1,9
2/15/20,43,1,12
2/16/20,59,1,12
2/17/20,66,1,12
2/18/20,74,1,13
2/19/20,84,1,18
2/20/20,94,1,18
2/21/20,105,1,22
2/22/20,122,1,22
2/23/20,147,1,22
2/24/20,159,1,22
2/25/20,170,1,22
2/26/20,189,2,22
2/27/20,214,4,22
2/28/20,228,4,22
2/29/20,241,5,32
3/1/20,256,6,32
3/2/20,274,6,32
3/3/20,293,6,43
3/4/20,331,6,43
3/5/20,360,6,43
3/6/20,420,6,46
3/7/20,461,6,76
3/8/20,502,6,76
3/9/20,511,10,76
3/10/20,581,10,101
3/11/20,639,15,118
3/12/20,639,16,118
3/13/20,701,19,118
3/14/20,773,22,118
3/15/20,839,22,118
3/16/20,839,27,144
3/17/20,878,29,144
3/18/20,889,29,144
3/19/20,924,29,150
3/20/20,963,33,191
3/21/20,1007,35,232
3/22/20,1101,41,235
3/23/20,1128,42,235
3/24/20,1193,43,285
3/25/20,1307,45,310
3/26/20,1387,47,359
3/27/20,1468,49,372
3/28/20,1693,52,404
3/29/20,1866,54,424
3/30/20,1866,54,424
3/31/20,1953,56,424
4/1/20,2178,57,472
4/2/20,2495,62,472
4/3/20,2617,63,514
4/4/20,3139,77,514
4/5/20,3139,77,514
4/6/20,3654,85,575
4/7/20,3906,92,592
4/8/20,4257,93,622
4/9/20,4667,94,632
4/10/20,5530,99,685
4/11/20,6005,99,762
4/12/20,6748,108,762
4/13/20,7370,123,784
4/14/20,7645,143,799
4/15/20,8100,146,853
4/16/20,8626,178,901
4/17/20,9787,190,935
4/18/20,10296,222,1069
4/19/20,10797,236,1159
4/20/20,10797,236,1159
4/21/20,11135,263,1239
4/22/20,11512,281,1356
4/23/20,12368,328,1494
4/24/20,12829,345,1530
4/25/20,13231,360,1656
4/26/20,13441,372,1809
4/27/20,14153,385,1899
4/28/20,13736,394,1899
4/29/20,13895,413,2368
4/30/20,14088,430,2460
5/1/20,14305,455,2975
5/2/20,14571,474,3205
5/3/20,14877,487,3981
5/4/20,15078,536,4156
5/5/20,15253,556,4496
5/6/20,15253,556,4496
5/7/20,15477,577,4918
5/8/20,15575,590,5146
5/9/20,15663,607,5906
5/10/20,15777,624,8127
5/11/20,15847,633,8293
5/12/20,15968,657,8531
5/13/20,16049,678,8920
5/14/20,16120,697,9868
5/15/20,16203,713,10338
5/16/20,16237,725,10338
5/17/20,16285,744,11153
5/18/20,16305,749,11564
5/19/20,16367,768,11564
5/20/20,16367,768,11564
5/21/20,16424,777,12672
5/22/20,16513,796,13005
5/23/20,16536,808,13244
5/24/20,16550,820,13413
5/25/20,16581,830,13612
5/26/20,16623,846,13810
5/27/20,16651,858,13973
5/28/20,16598,881,14096
5/29/20,16673,887,14213
5/30/20,16716,894,14267
5/31/20,16751,898,14342
6/1/20,16787,899,14463
6/2/20,16837,902,14585
6/3/20,16867,905,14702
6/4/20,16911,911,14785
6/5/20,16958,916,14925
6/6/20,17000,915,14927
6/7/20,17039,917,14990
6/8/20,17060,920,15043
6/9/20,17111,920,15141
6/10/20,17146,922,15217
6/11/20,17187,922,15233
6/12/20,17250,924,15362
6/13/20,17293,927,15458
6/14/20,17369,927,15514
6/15/20,17439,929,15567
6/16/20,17484,934,15652
6/17/20,17530,935,15753
