Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,1,0,0
3/11/20,1,0,0
3/12/20,1,0,0
3/13/20,1,0,1
3/14/20,1,0,1
3/15/20,8,0,1
3/16/20,17,0,1
3/17/20,34,0,1
3/18/20,52,0,1
3/19/20,69,0,1
3/20/20,85,0,1
3/21/20,85,0,1
3/22/20,112,0,1
3/23/20,127,0,1
3/24/20,154,0,1
3/25/20,172,0,1
3/26/20,212,0,1
3/27/20,235,1,18
3/28/20,246,1,18
3/29/20,259,3,18
3/30/20,268,5,26
3/31/20,274,5,30
4/1/20,278,5,36
4/2/20,299,5,45
4/3/20,310,5,58
4/4/20,323,5,74
4/5/20,345,5,110
4/6/20,349,6,126
4/7/20,353,6,138
4/8/20,358,6,150
4/9/20,372,7,161
4/10/20,372,7,170
4/11/20,381,7,177
4/12/20,389,7,201
4/13/20,391,7,215
4/14/20,397,7,235
4/15/20,401,7,250
4/16/20,402,7,259
4/17/20,407,7,265
4/18/20,413,7,269
4/19/20,417,7,276
4/20/20,425,7,282
4/21/20,428,7,297
4/22/20,435,7,315
4/23/20,437,7,318
4/24/20,441,7,326
4/25/20,444,7,332
4/26/20,447,7,337
4/27/20,449,7,342
4/28/20,449,8,348
4/29/20,451,8,356
4/30/20,453,8,362
5/1/20,459,8,364
5/2/20,460,9,367
5/3/20,461,9,367
5/4/20,465,9,370
5/5/20,471,9,375
5/6/20,473,9,377
5/7/20,494,9,381
5/8/20,508,9,385
5/9/20,522,9,387
5/10/20,540,9,389
5/11/20,562,9,390
5/12/20,576,9,390
5/13/20,582,9,392
5/14/20,586,9,393
5/15/20,596,9,401
5/16/20,607,9,404
5/17/20,613,9,408
5/18/20,629,9,413
5/19/20,649,9,417
5/20/20,672,9,446
5/21/20,684,9,457
5/22/20,700,9,461
5/23/20,704,9,470
5/24/20,708,9,471
5/25/20,711,9,479
5/26/20,718,9,586
5/27/20,720,9,586
5/28/20,728,9,497
5/29/20,730,9,507
5/30/20,734,9,507
5/31/20,739,9,522
6/1/20,746,9,535
6/2/20,755,9,549
6/3/20,757,9,561
6/4/20,765,9,566
6/5/20,784,9,571
6/6/20,795,9,586
6/7/20,808,9,607
6/8/20,831,9,627
6/9/20,845,9,657
6/10/20,863,9,663
6/11/20,890,9,670
6/12/20,915,9,671
6/13/20,953,9,678
6/14/20,961,9,682
6/15/20,979,9,692
6/16/20,981,9,693
6/17/20,987,9,693
