Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,4,0,0
3/14/20,6,0,0
3/15/20,9,0,0
3/16/20,10,0,0
3/17/20,33,0,0
3/18/20,35,0,0
3/19/20,44,0,0
3/20/20,49,3,0
3/21/20,53,0,0
3/22/20,60,0,0
3/23/20,62,0,0
3/24/20,72,0,0
3/25/20,81,0,0
3/26/20,111,1,2
3/27/20,150,1,3
3/28/20,228,1,16
3/29/20,284,1,20
3/30/20,302,1,21
3/31/20,343,2,24
4/1/20,380,3,26
4/2/20,435,3,27
4/3/20,464,6,29
4/4/20,531,5,36
4/5/20,584,6,42
4/6/20,662,6,46
4/7/20,697,6,51
4/8/20,727,7,54
4/9/20,781,8,60
4/10/20,812,10,64
4/11/20,865,10,81
4/12/20,951,10,99
4/13/20,1091,12,138
4/14/20,1232,14,203
4/15/20,1295,16,240
4/16/20,1402,17,277
4/17/20,1546,17,347
4/18/20,1615,17,377
4/19/20,1676,17,400
4/20/20,1852,19,447
4/21/20,1995,19,489
4/22/20,2135,19,515
4/23/20,2289,20,560
4/24/20,2482,25,604
4/25/20,2601,25,646
4/26/20,2717,25,682
4/27/20,2835,25,720
4/28/20,3027,25,774
4/29/20,3138,25,819
4/30/20,3402,25,866
5/1/20,3597,25,922
5/2/20,3857,25,985
5/3/20,3920,27,1084
5/4/20,4049,29,1173
5/5/20,4205,29,1279
5/6/20,4422,30,1408
5/7/20,4578,30,1518
5/8/20,4834,31,1631
5/9/20,4975,31,1776
5/10/20,5090,31,1941
5/11/20,5207,32,2074
5/12/20,5279,32,2223
5/13/20,5417,32,2408
5/14/20,5571,32,2531
5/15/20,5689,34,2707
5/16/20,5850,34,2980
5/17/20,6157,34,3256
5/18/20,6751,35,3469
5/19/20,6751,35,3598
5/20/20,6969,35,3734
5/21/20,7234,35,3843
5/22/20,7919,35,4096
5/23/20,7919,35,4214
5/24/20,8531,35,4352
5/25/20,8969,35,4515
5/26/20,8969,37,4613
5/27/20,9304,37,4768
5/28/20,9576,37,4900
5/29/20,9932,37,5057
5/30/20,10382,38,5220
5/31/20,10858,40,5404
6/1/20,11308,41,5587
6/2/20,11571,44,5941
6/3/20,12067,48,6240
6/4/20,12067,52,6606
6/5/20,12312,52,6903
6/6/20,12511,53,7135
6/7/20,12694,56,7376
6/8/20,12859,56,7376
6/9/20,13074,61,8015
6/10/20,13319,67,8345
6/11/20,13872,67,8593
6/12/20,13872,70,8829
6/13/20,14238,73,8829
6/14/20,14496,77,9188
6/15/20,15192,81,9388
6/16/20,15542,88,9647
6/17/20,15877,97,9920
