Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,3,0,0
3/16/20,3,0,0
3/17/20,3,0,0
3/18/20,3,0,0
3/19/20,7,0,0
3/20/20,7,0,0
3/21/20,7,0,0
3/22/20,15,0,0
3/23/20,16,0,0
3/24/20,25,0,0
3/25/20,28,0,1
3/26/20,31,1,1
3/27/20,31,1,1
3/28/20,38,1,1
3/29/20,42,1,1
3/30/20,50,1,1
3/31/20,59,1,1
4/1/20,81,1,3
4/2/20,110,3,4
4/3/20,122,4,4
4/4/20,126,4,4
4/5/20,142,4,4
4/6/20,158,6,4
4/7/20,172,6,7
4/8/20,179,6,9
4/9/20,184,7,12
4/10/20,189,7,22
4/11/20,191,7,24
4/12/20,197,8,25
4/13/20,208,9,40
4/14/20,216,9,41
4/15/20,225,10,53
4/16/20,234,11,53
4/17/20,246,11,53
4/18/20,262,12,60
4/19/20,270,14,67
4/20/20,281,14,69
4/21/20,296,14,74
4/22/20,303,14,74
4/23/20,320,14,89
4/24/20,336,14,94
4/25/20,343,14,98
4/26/20,355,14,106
4/27/20,363,14,114
4/28/20,374,14,124
4/29/20,384,15,129
4/30/20,396,17,144
5/1/20,411,21,150
5/2/20,435,22,152
5/3/20,465,24,167
5/4/20,490,24,173
5/5/20,535,24,182
5/6/20,582,26,190
5/7/20,607,29,197
5/8/20,621,29,202
5/9/20,649,30,207
5/10/20,672,32,239
5/11/20,700,33,251
5/12/20,715,36,259
5/13/20,737,40,281
5/14/20,758,42,284
5/15/20,781,45,284
5/16/20,830,50,301
5/17/20,887,50,313
5/18/20,912,50,336
5/19/20,963,50,358
5/20/20,1029,50,366
5/21/20,1109,50,375
5/22/20,1161,50,380
5/23/20,1192,50,380
5/24/20,1214,51,383
5/25/20,1286,52,402
5/26/20,1348,52,405
5/27/20,1471,55,408
5/28/20,1618,58,421
5/29/20,1745,62,438
5/30/20,1888,63,464
5/31/20,1962,64,478
6/1/20,2021,69,482
6/2/20,2093,71,499
6/3/20,2216,74,553
6/4/20,2340,78,592
6/5/20,2474,79,643
6/6/20,2600,83,706
6/7/20,2767,84,752
6/8/20,2872,85,849
6/9/20,2989,88,873
6/10/20,3094,89,1048
6/11/20,3215,92,1092
6/12/20,3305,96,1164
6/13/20,3457,100,1221
6/14/20,3594,103,1253
6/15/20,3727,104,1286
6/16/20,3860,105,1328
6/17/20,4044,107,1353
