Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,0,0,0
3/25/20,0,0,0
3/26/20,71,1,0
3/27/20,86,1,1
3/28/20,91,1,1
3/29/20,94,1,1
3/30/20,94,1,1
3/31/20,112,1,6
4/1/20,125,1,10
4/2/20,125,1,10
4/3/20,126,1,10
4/4/20,135,1,16
4/5/20,145,1,23
4/6/20,145,1,23
4/7/20,170,4,24
4/8/20,184,5,30
4/9/20,184,5,30
4/10/20,250,7,52
4/11/20,283,7,58
4/12/20,283,7,58
4/13/20,283,7,58
4/14/20,387,8,66
4/15/20,387,8,66
4/16/20,449,11,79
4/17/20,480,12,84
4/18/20,510,12,93
4/19/20,561,12,102
4/20/20,598,15,123
4/21/20,604,18,128
4/22/20,630,18,138
4/23/20,669,19,159
4/24/20,703,19,162
4/25/20,731,20,165
4/26/20,763,21,166
4/27/20,780,22,201
4/28/20,790,22,232
4/29/20,799,22,249
4/30/20,806,22,271
5/1/20,806,22,271
5/2/20,823,22,336
5/3/20,851,22,381
5/4/20,855,26,403
5/5/20,856,26,490
5/6/20,856,26,490
5/7/20,861,27,562
5/8/20,861,27,562
5/9/20,862,28,622
5/10/20,870,28,653
5/11/20,884,28,655
5/12/20,919,29,671
5/13/20,919,29,671
5/14/20,944,29,690
5/15/20,944,29,690
5/16/20,944,29,690
5/17/20,955,29,691
5/18/20,955,29,691
5/19/20,989,29,769
5/20/20,989,29,769
5/21/20,1003,29,772
5/22/20,1004,29,772
5/23/20,1025,29,782
5/24/20,1032,29,785
5/25/20,1038,30,791
5/26/20,1038,30,791
5/27/20,1047,30,794
5/28/20,1048,30,801
5/29/20,1048,30,801
5/30/20,1064,30,829
5/31/20,1064,30,829
6/1/20,1064,30,829
6/2/20,1064,30,829
6/3/20,1142,30,871
6/4/20,1142,30,871
6/5/20,1142,30,871
6/6/20,1142,30,871
6/7/20,1142,30,871
6/8/20,1263,31,912
6/9/20,1263,31,912
6/10/20,1298,31,913
6/11/20,1326,31,921
6/12/20,1326,31,921
6/13/20,1437,32,928
6/14/20,1437,32,928
6/15/20,1486,33,953
6/16/20,1486,33,953
6/17/20,1486,33,953
