Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,1,0,0
2/25/20,11,0,0
2/26/20,26,0,0
2/27/20,43,0,0
2/28/20,45,0,0
2/29/20,45,0,0
3/1/20,45,0,0
3/2/20,56,0,0
3/3/20,56,0,0
3/4/20,56,0,0
3/5/20,58,0,0
3/6/20,58,0,0
3/7/20,61,0,0
3/8/20,64,0,1
3/9/20,64,0,1
3/10/20,69,0,1
3/11/20,72,0,2
3/12/20,80,0,5
3/13/20,80,0,5
3/14/20,104,0,5
3/15/20,112,0,5
3/16/20,123,0,9
3/17/20,130,0,9
3/18/20,142,0,15
3/19/20,148,0,18
3/20/20,159,0,18
3/21/20,176,0,27
3/22/20,188,0,27
3/23/20,189,0,27
3/24/20,191,0,39
3/25/20,195,0,43
3/26/20,208,0,49
3/27/20,225,0,57
3/28/20,235,0,64
3/29/20,255,0,67
3/30/20,266,0,72
3/31/20,289,0,73
4/1/20,317,0,80
4/2/20,342,0,81
4/3/20,417,0,82
4/4/20,479,1,93
4/5/20,556,1,99
4/6/20,665,1,103
4/7/20,743,1,105
4/8/20,855,1,111
4/9/20,910,1,111
4/10/20,993,1,123
4/11/20,1154,1,133
4/12/20,1234,1,142
4/13/20,1300,2,150
4/14/20,1355,3,176
4/15/20,1405,3,206
4/16/20,1524,3,225
4/17/20,1658,5,258
4/18/20,1751,6,280
4/19/20,1915,7,305
4/20/20,1995,9,367
4/21/20,2080,11,412
4/22/20,2248,13,443
4/23/20,2399,14,498
4/24/20,2614,15,613
4/25/20,2892,19,656
4/26/20,3075,20,806
4/27/20,3288,22,1012
4/28/20,3440,23,1176
4/29/20,3740,24,1389
4/30/20,4024,26,1539
5/1/20,4377,30,1602
5/2/20,4619,33,1703
5/3/20,4983,38,1776
5/4/20,5278,40,1947
5/5/20,5804,40,2032
5/6/20,6289,42,2219
5/7/20,6567,44,2381
5/8/20,7208,47,2466
5/9/20,7623,49,2622
5/10/20,8688,58,2729
5/11/20,9286,65,2907
5/12/20,10277,75,3101
5/13/20,11028,82,3263
5/14/20,11975,88,3451
5/15/20,12860,96,3640
5/16/20,13802,107,3843
5/17/20,14850,112,4093
5/18/20,15691,118,4339
5/19/20,16764,121,4681
5/20/20,17568,124,4885
5/21/20,18609,129,5205
5/22/20,19564,138,5515
5/23/20,20464,148,5747
5/24/20,21302,156,6117
5/25/20,21967,165,6621
5/26/20,22575,172,7306
5/27/20,23267,175,7946
5/28/20,24112,185,8698
5/29/20,25184,194,9273
5/30/20,26192,205,10156
5/31/20,27043,212,11386
6/1/20,27762,220,12899
6/2/20,28649,226,14281
6/3/20,29359,230,15750
6/4/20,29921,236,17223
6/5/20,30644,244,18277
6/6/20,31131,254,19282
6/7/20,31848,264,20205
6/8/20,32510,269,21242
6/9/20,33140,273,22162
6/10/20,33823,275,23288
6/11/20,34432,279,24137
6/12/20,34952,285,25048
6/13/20,35466,289,25882
6/14/20,35920,296,26759
6/15/20,36431,298,27531
6/16/20,36958,303,28206
6/17/20,37533,306,28896
