Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,3,0,0
3/19/20,3,0,0
3/20/20,6,0,0
3/21/20,14,0,0
3/22/20,14,0,0
3/23/20,16,0,0
3/24/20,42,0,0
3/25/20,44,0,0
3/26/20,44,0,0
3/27/20,58,0,0
3/28/20,58,0,0
3/29/20,84,0,0
3/30/20,94,0,3
3/31/20,107,0,3
4/1/20,111,0,3
4/2/20,116,0,5
4/3/20,130,1,6
4/4/20,144,1,9
4/5/20,147,1,9
4/6/20,216,4,33
4/7/20,228,4,33
4/8/20,270,4,33
4/9/20,280,4,35
4/10/20,298,5,35
4/11/20,339,5,44
4/12/20,377,5,54
4/13/20,419,5,67
4/14/20,430,5,71
4/15/20,449,5,78
4/16/20,466,5,91
4/17/20,489,5,114
4/18/20,506,5,130
4/19/20,554,5,133
4/20/20,568,7,201
4/21/20,590,7,216
4/22/20,612,7,254
4/23/20,631,8,302
4/24/20,665,8,345
4/25/20,665,8,345
4/26/20,682,8,370
4/27/20,695,8,395
4/28/20,708,8,416
4/29/20,729,8,437
4/30/20,746,8,462
5/1/20,756,8,504
5/2/20,769,8,527
5/3/20,795,10,564
5/4/20,830,10,575
5/5/20,843,11,600
5/6/20,871,12,614
5/7/20,895,12,637
5/8/20,906,12,650
5/9/20,931,12,658
5/10/20,1002,12,675
5/11/20,1016,12,688
5/12/20,1037,12,709
5/13/20,1044,12,726
5/14/20,1082,12,735
5/15/20,1111,14,745
5/16/20,1117,14,783
5/17/20,1138,14,804
5/18/20,1216,14,827
5/19/20,1243,14,898
5/20/20,1270,14,910
5/21/20,1313,14,923
5/22/20,1350,14,939
5/23/20,1365,14,957
5/24/20,1403,14,980
5/25/20,1433,16,992
5/26/20,1468,16,1015
5/27/20,1520,16,1043
5/28/20,1594,16,1066
5/29/20,1662,16,1088
5/30/20,1722,16,1113
5/31/20,1748,16,1170
6/1/20,1817,16,1181
6/2/20,1845,17,1219
6/3/20,1871,20,1265
6/4/20,1899,20,1292
6/5/20,1936,22,1340
6/6/20,1974,22,1360
6/7/20,2007,22,1425
6/8/20,2032,23,1445
6/9/20,2055,24,1483
6/10/20,2093,26,1572
6/11/20,2166,26,1668
6/12/20,2166,26,1668
6/13/20,2207,27,1722
6/14/20,2285,27,1791
6/15/20,2472,28,1847
6/16/20,2562,30,1902
6/17/20,2657,31,1933
