Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,2,0,0
3/9/20,6,0,0
3/10/20,8,0,1
3/11/20,10,0,1
3/12/20,10,0,1
3/13/20,17,0,1
3/14/20,26,0,1
3/15/20,30,0,1
3/16/20,34,0,1
3/17/20,49,0,1
3/18/20,71,0,1
3/19/20,86,0,1
3/20/20,111,0,1
3/21/20,124,0,1
3/22/20,139,0,1
3/23/20,180,0,1
3/24/20,197,0,1
3/25/20,221,0,1
3/26/20,244,0,1
3/27/20,280,0,1
3/28/20,305,0,1
3/29/20,347,0,1
3/30/20,376,0,1
3/31/20,398,0,1
4/1/20,446,0,1
4/2/20,458,0,31
4/3/20,493,1,1
4/4/20,509,1,1
4/5/20,533,1,1
4/6/20,542,1,16
4/7/20,548,2,16
4/8/20,577,2,16
4/9/20,589,3,16
4/10/20,612,3,16
4/11/20,630,3,16
4/12/20,651,5,16
4/13/20,655,5,16
4/14/20,657,5,16
4/15/20,666,5,44
4/16/20,675,5,57
4/17/20,682,5,88
4/18/20,712,5,88
4/19/20,727,5,88
4/20/20,739,5,88
4/21/20,748,9,133
4/22/20,761,11,133
4/23/20,778,11,133
4/24/20,784,12,267
4/25/20,804,12,267
4/26/20,812,12,267
4/27/20,818,13,267
4/28/20,836,13,267
4/29/20,849,15,348
4/30/20,858,15,348
5/1/20,870,16,348
5/2/20,871,16,348
5/3/20,879,16,348
5/4/20,896,16,348
5/5/20,896,17,348
5/6/20,900,17,464
5/7/20,909,18,464
5/8/20,928,18,464
5/9/20,930,18,464
5/10/20,939,18,464
5/11/20,946,18,464
5/12/20,950,18,627
5/13/20,951,19,627
5/14/20,962,19,627
5/15/20,970,19,662
5/16/20,997,19,662
5/17/20,1008,19,662
5/18/20,1009,19,662
5/19/20,1012,21,694
5/20/20,1016,21,694
5/21/20,1025,22,694
5/22/20,1030,22,712
5/23/20,1046,22,712
5/24/20,1047,22,712
5/25/20,1049,22,712
5/26/20,1053,22,741
5/27/20,1057,23,741
5/28/20,1061,24,741
5/29/20,1064,24,745
5/30/20,1065,24,745
5/31/20,1066,24,745
6/1/20,1066,24,745
6/2/20,1071,24,760
6/3/20,1079,24,760
6/4/20,1082,25,760
6/5/20,1085,25,781
6/6/20,1086,25,781
6/7/20,1088,25,781
6/8/20,1088,26,781
6/9/20,1089,26,794
6/10/20,1092,26,794
6/11/20,1094,26,818
6/12/20,1096,27,818
6/13/20,1097,28,845
6/14/20,1097,28,845
6/15/20,1097,28,845
6/16/20,1098,28,875
6/17/20,1104,30,875
