Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,1,0,0
2/22/20,1,0,0
2/23/20,1,0,0
2/24/20,1,0,0
2/25/20,1,0,0
2/26/20,2,0,0
2/27/20,2,0,0
2/28/20,2,0,0
2/29/20,4,0,0
3/1/20,10,0,0
3/2/20,13,0,0
3/3/20,13,0,0
3/4/20,13,0,1
3/5/20,16,0,1
3/6/20,22,0,1
3/7/20,22,0,1
3/8/20,32,0,1
3/9/20,32,0,1
3/10/20,41,1,1
3/11/20,61,3,1
3/12/20,61,3,1
3/13/20,77,3,1
3/14/20,93,3,1
3/15/20,110,3,1
3/16/20,110,3,1
3/17/20,120,3,3
3/18/20,133,3,3
3/19/20,157,4,4
3/20/20,163,4,4
3/21/20,187,4,4
3/22/20,248,4,8
3/23/20,267,4,8
3/24/20,318,4,8
3/25/20,333,6,20
3/26/20,368,6,23
3/27/20,391,8,27
3/28/20,412,8,30
3/29/20,438,10,30
3/30/20,446,11,35
3/31/20,470,12,37
4/1/20,479,14,43
4/2/20,494,16,46
4/3/20,508,17,50
4/4/20,520,17,54
4/5/20,527,18,54
4/6/20,541,19,60
4/7/20,548,19,62
4/8/20,576,19,62
4/9/20,582,19,67
4/10/20,609,20,76
4/11/20,619,20,77
4/12/20,630,20,80
4/13/20,632,20,80
4/14/20,641,21,80
4/15/20,658,21,85
4/16/20,663,21,86
4/17/20,668,21,86
4/18/20,672,21,99
4/19/20,673,21,102
4/20/20,677,21,103
4/21/20,677,21,108
4/22/20,682,22,113
4/23/20,688,22,140
4/24/20,696,22,140
4/25/20,704,24,143
4/26/20,707,24,145
4/27/20,710,24,145
4/28/20,717,24,145
4/29/20,721,24,150
4/30/20,725,24,150
5/1/20,729,24,192
5/2/20,733,25,197
5/3/20,737,25,200
5/4/20,740,25,200
5/5/20,741,25,206
5/6/20,750,25,206
5/7/20,784,25,220
5/8/20,796,26,223
5/9/20,809,26,234
5/10/20,845,26,234
5/11/20,859,26,234
5/12/20,870,26,234
5/13/20,878,26,236
5/14/20,886,26,236
5/15/20,891,26,246
5/16/20,902,26,247
5/17/20,911,26,247
5/18/20,931,26,251
5/19/20,954,26,251
5/20/20,961,26,251
5/21/20,1024,26,663
5/22/20,1086,26,663
5/23/20,1097,26,667
5/24/20,1114,26,688
5/25/20,1119,26,688
5/26/20,1140,26,689
5/27/20,1161,26,692
5/28/20,1168,26,699
5/29/20,1172,26,705
5/30/20,1191,26,708
5/31/20,1220,27,712
6/1/20,1233,27,715
6/2/20,1242,27,719
6/3/20,1256,27,724
6/4/20,1306,28,731
6/5/20,1312,28,768
6/6/20,1320,29,768
6/7/20,1331,30,768
6/8/20,1350,30,779
6/9/20,1368,30,795
6/10/20,1388,30,832
6/11/20,1402,31,845
6/12/20,1422,31,853
6/13/20,1442,32,868
6/14/20,1446,32,868
6/15/20,1464,32,875
6/16/20,1473,32,889
6/17/20,1489,32,907
