Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,2,0,0
3/19/20,2,0,0
3/20/20,2,0,0
3/21/20,3,0,0
3/22/20,3,0,0
3/23/20,3,0,0
3/24/20,3,0,0
3/25/20,3,0,0
3/26/20,3,0,0
3/27/20,3,0,0
3/28/20,3,0,0
3/29/20,3,0,0
3/30/20,3,0,0
3/31/20,3,0,0
4/1/20,6,0,0
4/2/20,6,0,0
4/3/20,7,0,0
4/4/20,10,1,3
4/5/20,13,3,3
4/6/20,14,3,3
4/7/20,14,3,3
4/8/20,31,4,3
4/9/20,31,4,3
4/10/20,37,5,3
4/11/20,48,5,3
4/12/20,50,5,3
4/13/20,59,6,4
4/14/20,59,6,4
4/15/20,59,6,4
4/16/20,59,6,4
4/17/20,76,7,7
4/18/20,76,7,7
4/19/20,91,8,7
4/20/20,99,8,7
4/21/20,101,8,7
4/22/20,101,8,20
4/23/20,101,8,20
4/24/20,117,8,25
4/25/20,120,11,25
4/26/20,124,12,25
4/27/20,124,12,25
4/28/20,141,16,45
4/29/20,141,16,45
4/30/20,141,16,45
5/1/20,152,18,45
5/2/20,154,18,48
5/3/20,158,18,58
5/4/20,166,18,58
5/5/20,170,20,58
5/6/20,178,20,75
5/7/20,189,20,79
5/8/20,199,20,79
5/9/20,199,20,79
5/10/20,199,20,79
5/11/20,211,20,85
5/12/20,211,20,85
5/13/20,213,20,101
5/14/20,215,20,105
5/15/20,219,20,108
5/16/20,223,20,116
5/17/20,226,21,120
5/18/20,229,22,123
5/19/20,233,23,125
5/20/20,238,23,128
5/21/20,240,23,131
5/22/20,249,24,136
5/23/20,255,26,136
5/24/20,265,26,139
5/25/20,265,26,141
5/26/20,266,26,144
5/27/20,266,27,144
5/28/20,269,27,144
5/29/20,273,27,146
5/30/20,280,27,148
5/31/20,288,27,157
6/1/20,296,27,159
6/2/20,311,28,167
6/3/20,316,28,169
6/4/20,321,28,175
6/5/20,334,30,176
6/6/20,345,30,185
6/7/20,359,30,194
6/8/20,370,30,195
6/9/20,383,31,199
6/10/20,397,31,200
6/11/20,410,31,206
6/12/20,421,32,210
6/13/20,446,32,214
6/14/20,458,32,219
6/15/20,498,33,221
6/16/20,509,33,222
6/17/20,516,33,240
