Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,1,0,0
3/25/20,1,0,0
3/26/20,1,0,0
3/27/20,1,0,0
3/28/20,3,0,0
3/29/20,8,0,0
3/30/20,8,0,0
3/31/20,10,0,1
4/1/20,10,0,0
4/2/20,11,1,0
4/3/20,11,1,0
4/4/20,18,1,0
4/5/20,18,1,0
4/6/20,19,1,1
4/7/20,20,1,1
4/8/20,21,1,8
4/9/20,24,1,8
4/10/20,24,1,8
4/11/20,24,1,8
4/12/20,25,1,9
4/13/20,26,1,9
4/14/20,35,1,9
4/15/20,48,1,9
4/16/20,49,1,11
4/17/20,49,1,11
4/18/20,49,1,11
4/19/20,51,1,11
4/20/20,51,1,15
4/21/20,51,1,15
4/22/20,59,1,15
4/23/20,60,2,15
4/24/20,61,2,18
4/25/20,61,2,18
4/26/20,61,2,18
4/27/20,61,2,18
4/28/20,61,2,18
4/29/20,61,2,18
4/30/20,61,3,18
5/1/20,63,3,18
5/2/20,63,3,22
5/3/20,63,3,22
5/4/20,63,3,23
5/5/20,63,3,23
5/6/20,64,3,24
5/7/20,64,3,24
5/8/20,64,3,24
5/9/20,64,3,24
5/10/20,64,3,24
5/11/20,64,3,28
5/12/20,64,3,28
5/13/20,64,3,28
5/14/20,64,3,28
5/15/20,64,3,28
5/16/20,65,3,28
5/17/20,65,3,35
5/18/20,65,3,35
5/19/20,68,3,35
5/20/20,69,3,35
5/21/20,71,3,35
5/22/20,72,3,38
5/23/20,75,3,39
5/24/20,75,3,39
5/25/20,75,3,40
5/26/20,77,3,40
5/27/20,99,4,40
5/28/20,105,5,41
5/29/20,118,5,41
5/30/20,130,5,50
5/31/20,156,5,52
6/1/20,168,5,52
6/2/20,182,5,52
6/3/20,196,5,52
6/4/20,209,5,52
6/5/20,239,5,52
6/6/20,256,5,52
6/7/20,256,5,52
6/8/20,332,5,57
6/9/20,359,5,58
6/10/20,378,5,59
6/11/20,393,5,59
6/12/20,409,6,59
6/13/20,418,8,62
6/14/20,454,10,63
6/15/20,467,10,70
6/16/20,484,10,76
6/17/20,500,10,78
