Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,1,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,1,0,0
3/11/20,3,0,0
3/12/20,3,0,0
3/13/20,6,0,0
3/14/20,8,0,0
3/15/20,12,0,1
3/16/20,17,0,1
3/17/20,25,0,1
3/18/20,27,0,1
3/19/20,36,0,1
3/20/20,49,0,1
3/21/20,83,1,1
3/22/20,143,1,1
3/23/20,179,1,1
3/24/20,209,2,1
3/25/20,274,4,1
3/26/20,299,4,1
3/27/20,358,5,1
3/28/20,394,7,1
3/29/20,460,7,1
3/30/20,491,7,7
3/31/20,537,8,7
4/1/20,581,8,7
4/2/20,649,9,7
4/3/20,696,9,7
4/4/20,771,11,7
4/5/20,811,13,7
4/6/20,843,15,8
4/7/20,880,15,8
4/8/20,912,15,8
4/9/20,955,16,8
4/10/20,999,22,54
4/11/20,1026,23,54
4/12/20,1053,23,97
4/13/20,1062,24,101
4/14/20,1070,29,101
4/15/20,1091,30,138
4/16/20,1128,32,178
4/17/20,1149,33,210
4/18/20,1239,33,228
4/19/20,1298,35,242
4/20/20,1326,37,242
4/21/20,1350,38,298
4/22/20,1370,38,357
4/23/20,1398,40,399
4/24/20,1410,40,430
4/25/20,1426,41,460
4/26/20,1438,41,467
4/27/20,1449,41,474
4/28/20,1344,44,536
4/29/20,1375,45,563
4/30/20,1385,45,589
5/1/20,1399,45,594
5/2/20,1406,46,632
5/3/20,1410,46,635
5/4/20,1419,46,638
5/5/20,1423,46,678
5/6/20,1428,48,718
5/7/20,1433,49,739
5/8/20,1436,49,765
5/9/20,1444,49,828
5/10/20,1479,50,828
5/11/20,1485,50,833
5/12/20,1491,50,850
5/13/20,1505,54,908
5/14/20,1511,54,934
5/15/20,1523,54,965
5/16/20,1534,55,988
5/17/20,1541,56,997
5/18/20,1547,59,997
5/19/20,1562,60,1025
5/20/20,1577,60,1049
5/21/20,1593,61,1049
5/22/20,1604,61,1111
5/23/20,1616,63,1135
5/24/20,1623,63,1138
5/25/20,1635,63,1138
5/26/20,1639,65,1165
5/27/20,1647,66,1184
5/28/20,1656,68,1193
5/29/20,1662,68,1216
5/30/20,1670,70,1229
5/31/20,1675,70,1236
6/1/20,1678,70,1236
6/2/20,1682,71,1249
6/3/20,1684,71,1260
6/4/20,1687,71,1273
6/5/20,1694,71,1302
6/6/20,1705,71,1321
6/7/20,1714,71,1328
6/8/20,1720,71,1331
6/9/20,1727,72,1338
6/10/20,1733,74,1369
6/11/20,1752,74,1372
6/12/20,1756,74,1400
6/13/20,1763,75,1416
6/14/20,1768,75,1427
6/15/20,1773,76,1429
6/16/20,1776,76,1441
6/17/20,1778,76,1447
