Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,1,0,0
3/1/20,1,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,2,0,0
3/7/20,2,0,0
3/8/20,3,0,0
3/9/20,3,0,0
3/10/20,5,0,0
3/11/20,7,0,0
3/12/20,19,0,0
3/13/20,34,0,0
3/14/20,51,1,0
3/15/20,59,1,0
3/16/20,77,1,0
3/17/20,140,1,0
3/18/20,203,2,0
3/19/20,335,4,0
3/20/20,484,4,0
3/21/20,670,8,0
3/22/20,798,8,6
3/23/20,875,8,6
3/24/20,1099,8,6
3/25/20,1333,8,6
3/26/20,1453,9,6
3/27/20,1605,15,40
3/28/20,1831,18,40
3/29/20,1950,21,40
3/30/20,1988,22,40
3/31/20,2178,23,80
4/1/20,2319,29,80
4/2/20,2487,30,80
4/3/20,2612,31,500
4/4/20,2729,31,500
4/5/20,2804,36,500
4/6/20,2843,41,500
4/7/20,2970,44,500
4/8/20,3034,46,500
4/9/20,3115,52,500
4/10/20,3223,54,500
4/11/20,3270,62,500
4/12/20,3281,66,500
4/13/20,3292,69,500
4/14/20,3307,67,500
4/15/20,3373,69,526
4/16/20,3444,69,552
4/17/20,3480,72,579
4/18/20,3537,72,601
4/19/20,3550,73,627
4/20/20,3558,75,637
4/21/20,3618,78,670
4/22/20,3654,80,711
4/23/20,3665,83,728
4/24/20,3695,85,3007
4/25/20,3711,85,3088
4/26/20,3723,88,3104
4/27/20,3729,88,3123
4/28/20,3741,89,3123
4/29/20,3769,89,3134
4/30/20,3784,90,3213
5/1/20,3802,92,3213
5/2/20,3812,92,3318
5/3/20,3824,96,3379
5/4/20,3828,96,3405
5/5/20,3840,96,3412
5/6/20,3851,98,3452
5/7/20,3859,100,3505
5/8/20,3871,100,3526
5/9/20,3877,101,3550
5/10/20,3886,101,3586
5/11/20,3888,101,3602
5/12/20,3894,102,3610
5/13/20,3904,103,3629
5/14/20,3915,103,3665
5/15/20,3923,104,3682
5/16/20,3930,104,3699
5/17/20,3945,107,3702
5/18/20,3947,107,3715
5/19/20,3958,109,3718
5/20/20,3971,109,3728
5/21/20,3980,109,3741
5/22/20,3981,109,3748
5/23/20,3990,109,3758
5/24/20,3992,110,3767
5/25/20,3993,110,3781
5/26/20,3995,110,3783
5/27/20,4001,110,3791
5/28/20,4008,110,3803
5/29/20,4012,110,3815
5/30/20,4016,110,3815
5/31/20,4018,110,3833
6/1/20,4019,110,3845
6/2/20,4020,110,3848
6/3/20,4024,110,3861
6/4/20,4027,110,3874
6/5/20,4032,110,3885
6/6/20,4035,110,3888
6/7/20,4039,110,3899
6/8/20,4040,110,3901
6/9/20,4046,110,3902
6/10/20,4049,110,3904
6/11/20,4052,110,3910
6/12/20,4055,110,3918
6/13/20,4063,110,3922
6/14/20,4070,110,3929
6/15/20,4072,110,3931
6/16/20,4075,110,3933
6/17/20,4085,110,3935
