Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,3,0,0
3/21/20,3,0,0
3/22/20,3,0,0
3/23/20,12,0,0
3/24/20,17,0,0
3/25/20,19,0,0
3/26/20,23,0,0
3/27/20,26,0,0
3/28/20,26,0,0
3/29/20,39,0,0
3/30/20,43,0,0
3/31/20,57,0,0
4/1/20,57,0,0
4/2/20,59,0,0
4/3/20,70,0,0
4/4/20,70,0,0
4/5/20,72,0,2
4/6/20,82,0,2
4/7/20,88,0,7
4/8/20,93,0,11
4/9/20,93,0,11
4/10/20,93,0,11
4/11/20,102,0,11
4/12/20,106,0,20
4/13/20,106,0,21
4/14/20,108,0,23
4/15/20,110,0,29
4/16/20,111,0,33
4/17/20,117,0,33
4/18/20,120,0,35
4/19/20,121,0,39
4/20/20,121,0,41
4/21/20,121,0,44
4/22/20,121,0,52
4/23/20,121,0,58
4/24/20,122,0,61
4/25/20,123,0,62
4/26/20,124,0,71
4/27/20,128,0,75
4/28/20,128,0,82
4/29/20,128,0,90
4/30/20,128,0,92
5/1/20,132,0,94
5/2/20,135,0,97
5/3/20,149,0,98
5/4/20,149,0,99
5/5/20,151,0,101
5/6/20,158,0,101
5/7/20,193,0,101
5/8/20,193,0,101
5/9/20,193,0,101
5/10/20,193,0,101
5/11/20,186,0,101
5/12/20,186,0,101
5/13/20,212,0,107
5/14/20,230,0,108
5/15/20,238,0,112
5/16/20,283,0,114
5/17/20,304,1,114
5/18/20,322,1,119
5/19/20,326,2,119
5/20/20,371,2,131
5/21/20,405,2,131
5/22/20,448,2,135
5/23/20,488,2,138
5/24/20,527,2,142
5/25/20,542,2,147
5/26/20,586,2,147
5/27/20,612,2,151
5/28/20,656,2,154
5/29/20,698,5,164
5/30/20,758,6,165
5/31/20,771,6,168
6/1/20,826,6,174
6/2/20,845,6,185
6/3/20,908,6,195
6/4/20,957,7,200
6/5/20,975,7,201
6/6/20,1026,8,212
6/7/20,1052,9,233
6/8/20,1094,9,254
6/9/20,1138,9,274
6/10/20,1162,10,296
6/11/20,1203,10,312
6/12/20,1240,10,344
6/13/20,1252,10,362
6/14/20,1272,10,367
6/15/20,1290,10,384
6/16/20,1317,12,417
6/17/20,1378,12,450
