Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,0,0,0
3/25/20,0,0,0
3/26/20,0,0,0
3/27/20,0,0,0
3/28/20,0,0,0
3/29/20,0,0,0
3/30/20,0,0,0
3/31/20,0,0,0
4/1/20,0,0,0
4/2/20,3,0,0
4/3/20,3,0,0
4/4/20,4,0,0
4/5/20,4,0,0
4/6/20,5,0,0
4/7/20,8,1,0
4/8/20,8,1,0
4/9/20,8,1,0
4/10/20,9,1,0
4/11/20,12,2,0
4/12/20,13,2,0
4/13/20,16,2,0
4/14/20,16,2,0
4/15/20,16,2,0
4/16/20,16,2,0
4/17/20,17,2,3
4/18/20,17,2,3
4/19/20,17,2,3
4/20/20,17,2,3
4/21/20,18,2,3
4/22/20,23,3,3
4/23/20,33,3,3
4/24/20,33,3,4
4/25/20,33,3,4
4/26/20,34,3,4
4/27/20,36,3,4
4/28/20,36,3,5
4/29/20,36,3,7
4/30/20,37,3,7
5/1/20,37,3,9
5/2/20,38,3,9
5/3/20,39,3,9
5/4/20,41,3,9
5/5/20,41,3,9
5/6/20,43,3,9
5/7/20,43,3,14
5/8/20,43,3,14
5/9/20,56,3,14
5/10/20,56,3,14
5/11/20,57,3,24
5/12/20,57,3,24
5/13/20,63,3,24
5/14/20,63,3,24
5/15/20,63,3,24
5/16/20,65,3,24
5/17/20,70,3,27
5/18/20,70,3,27
5/19/20,70,3,27
5/20/20,71,3,27
5/21/20,72,3,27
5/22/20,82,3,28
5/23/20,82,3,28
5/24/20,83,4,33
5/25/20,101,4,33
5/26/20,101,4,37
5/27/20,101,4,37
5/28/20,203,4,37
5/29/20,273,4,42
5/30/20,279,4,42
5/31/20,284,4,42
6/1/20,336,4,42
6/2/20,358,4,42
6/3/20,369,4,51
6/4/20,393,4,51
6/5/20,409,4,55
6/6/20,409,4,55
6/7/20,438,4,55
6/8/20,443,4,55
6/9/20,455,4,55
6/10/20,455,4,55
6/11/20,481,4,55
6/12/20,481,4,65
6/13/20,529,5,66
6/14/20,547,6,69
6/15/20,555,6,69
6/16/20,564,6,73
6/17/20,572,6,73
