Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,3,0,0
1/26/20,4,0,0
1/27/20,4,0,0
1/28/20,4,0,0
1/29/20,7,0,0
1/30/20,8,0,0
1/31/20,8,0,0
2/1/20,8,0,0
2/2/20,8,0,0
2/3/20,8,0,0
2/4/20,10,0,0
2/5/20,12,0,0
2/6/20,12,0,0
2/7/20,12,0,1
2/8/20,16,0,1
2/9/20,16,0,1
2/10/20,18,0,1
2/11/20,18,0,3
2/12/20,18,0,3
2/13/20,19,0,3
2/14/20,19,0,3
2/15/20,22,0,7
2/16/20,22,0,7
2/17/20,22,0,7
2/18/20,22,0,13
2/19/20,22,0,15
2/20/20,22,0,15
2/21/20,22,0,15
2/22/20,22,0,15
2/23/20,22,0,15
2/24/20,22,0,18
2/25/20,22,0,18
2/26/20,22,0,18
2/27/20,23,0,18
2/28/20,23,0,18
2/29/20,25,0,18
3/1/20,29,0,18
3/2/20,29,0,18
3/3/20,36,0,22
3/4/20,50,0,22
3/5/20,50,0,22
3/6/20,83,0,22
3/7/20,93,0,23
3/8/20,99,0,24
3/9/20,117,0,24
3/10/20,129,0,24
3/11/20,149,0,26
3/12/20,149,0,26
3/13/20,197,0,26
3/14/20,238,0,35
3/15/20,428,0,42
3/16/20,566,0,42
3/17/20,673,2,49
3/18/20,790,2,60
3/19/20,900,2,75
3/20/20,1030,3,87
3/21/20,1183,4,114
3/22/20,1306,10,139
3/23/20,1518,14,139
3/24/20,1624,16,183
3/25/20,1796,20,199
3/26/20,2031,23,215
3/27/20,2161,26,259
3/28/20,2320,27,320
3/29/20,2470,35,388
3/30/20,2626,37,479
3/31/20,2766,43,537
4/1/20,2908,45,645
4/2/20,3116,50,767
4/3/20,3333,53,827
4/4/20,3483,57,915
4/5/20,3662,61,1005
4/6/20,3793,62,1241
4/7/20,3963,63,1321
4/8/20,4119,65,1487
4/9/20,4228,67,1608
4/10/20,4346,70,1830
4/11/20,4530,73,1995
4/12/20,4683,76,2108
4/13/20,4817,77,2276
4/14/20,4987,82,2478
4/15/20,5072,83,2647
4/16/20,5182,84,2766
4/17/20,5251,86,2967
4/18/20,5305,88,3102
4/19/20,5389,89,3197
4/20/20,5425,89,3295
4/21/20,5482,92,3349
4/22/20,5532,93,3452
4/23/20,5603,95,3542
4/24/20,5691,96,3663
4/25/20,5742,98,3762
4/26/20,5780,98,3862
4/27/20,5820,99,3957
4/28/20,5851,100,4032
4/29/20,5945,100,4087
4/30/20,6002,102,4171
5/1/20,6071,103,4210
5/2/20,6176,103,4326
5/3/20,6298,105,4413
5/4/20,6353,105,4484
5/5/20,6383,106,4567
5/6/20,6428,107,4702
5/7/20,6467,107,4776
5/8/20,6535,107,4864
5/9/20,6589,108,4929
5/10/20,6656,108,5025
5/11/20,6726,109,5113
5/12/20,6742,109,5223
5/13/20,6779,111,5281
5/14/20,6819,112,5351
5/15/20,6855,112,5439
5/16/20,6872,113,5512
5/17/20,6894,113,5571
5/18/20,6941,113,5615
5/19/20,6978,114,5646
5/20/20,7009,114,5706
5/21/20,7059,114,5796
5/22/20,7137,115,5859
5/23/20,7185,115,5912
5/24/20,7245,115,5945
5/25/20,7417,115,5979
5/26/20,7604,115,6041
5/27/20,7619,115,6083
5/28/20,7629,115,6169
5/29/20,7732,115,6235
5/30/20,7762,115,6330
5/31/20,7819,115,6353
6/1/20,7857,115,6404
6/2/20,7877,115,6470
6/3/20,7970,115,6531
6/4/20,8247,115,6559
6/5/20,8266,116,6610
6/6/20,8303,117,6635
6/7/20,8322,117,6674
6/8/20,8329,117,6694
6/9/20,8336,117,6975
6/10/20,8338,118,7014
6/11/20,8369,118,7065
6/12/20,8402,119,7168
6/13/20,8445,120,7311
6/14/20,8453,121,7346
6/15/20,8494,121,7400
6/16/20,8505,121,7733
6/17/20,8515,121,7873
