Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,4,0,0
3/9/20,4,0,0
3/10/20,6,0,0
3/11/20,8,0,0
3/12/20,8,0,0
3/13/20,9,0,0
3/14/20,10,0,0
3/15/20,13,0,0
3/16/20,13,0,0
3/17/20,13,0,0
3/18/20,13,0,0
3/19/20,13,0,0
3/20/20,13,0,0
3/21/20,13,0,0
3/22/20,13,0,0
3/23/20,13,0,0
3/24/20,13,0,5
3/25/20,13,0,8
3/26/20,13,0,8
3/27/20,16,0,9
3/28/20,16,0,9
3/29/20,17,0,13
3/30/20,17,0,13
3/31/20,18,0,13
4/1/20,19,0,13
4/2/20,19,0,13
4/3/20,19,0,13
4/4/20,19,0,13
4/5/20,19,0,13
4/6/20,19,0,13
4/7/20,19,0,13
4/8/20,19,0,13
4/9/20,19,0,13
4/10/20,19,0,13
4/11/20,19,0,13
4/12/20,20,0,14
4/13/20,20,0,14
4/14/20,20,0,16
4/15/20,22,0,16
4/16/20,25,0,16
4/17/20,28,0,16
4/18/20,35,0,16
4/19/20,52,0,16
4/20/20,69,0,16
4/21/20,83,0,16
4/22/20,86,0,16
4/23/20,108,0,16
4/24/20,129,0,16
4/25/20,177,0,17
4/26/20,214,0,17
4/27/20,226,0,17
4/28/20,250,0,17
4/29/20,278,1,17
4/30/20,468,1,17
5/1/20,491,1,17
5/2/20,519,1,18
5/3/20,527,1,18
5/4/20,541,1,18
5/5/20,573,2,20
5/6/20,617,2,20
5/7/20,648,3,20
5/8/20,744,3,20
5/9/20,790,3,29
5/10/20,835,3,29
5/11/20,897,3,29
5/12/20,904,3,29
5/13/20,955,4,40
5/14/20,982,4,45
5/15/20,1031,4,49
5/16/20,1078,4,58
5/17/20,1094,4,58
5/18/20,1106,4,58
5/19/20,1143,4,91
5/20/20,1186,4,91
5/21/20,1216,4,91
5/22/20,1274,4,109
5/23/20,1313,4,128
5/24/20,1371,4,144
5/25/20,1395,4,155
5/26/20,1438,5,197
5/27/20,1457,5,197
5/28/20,1513,5,197
5/29/20,1591,5,197
5/30/20,1672,5,406
5/31/20,1773,5,453
6/1/20,1829,6,488
6/2/20,1841,7,608
6/3/20,1850,7,644
6/4/20,1872,7,648
6/5/20,1883,7,717
6/6/20,1901,8,763
6/7/20,1903,8,827
6/8/20,1916,8,925
6/9/20,1942,8,1010
6/10/20,1962,8,1121
6/11/20,1976,8,1153
6/12/20,2003,8,1193
6/13/20,2013,8,1217
6/14/20,2035,8,1311
6/15/20,2065,8,1540
6/16/20,2094,8,1670
6/17/20,2120,8,1677
