Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,0,0,0
3/25/20,2,0,0
3/26/20,4,0,0
3/27/20,11,0,0
3/28/20,18,0,0
3/29/20,18,1,0
3/30/20,25,2,0
3/31/20,28,2,0
4/1/20,31,3,0
4/2/20,36,3,0
4/3/20,39,3,0
4/4/20,41,3,1
4/5/20,45,5,1
4/6/20,47,5,9
4/7/20,56,5,12
4/8/20,59,7,16
4/9/20,74,7,22
4/10/20,87,7,22
4/11/20,87,7,22
4/12/20,105,9,22
4/13/20,123,10,26
4/14/20,144,13,34
4/15/20,148,13,34
4/16/20,171,13,34
4/17/20,171,13,34
4/18/20,216,13,41
4/19/20,224,14,42
4/20/20,246,14,56
4/21/20,258,14,57
4/22/20,293,17,73
4/23/20,309,21,77
4/24/20,325,21,87
4/25/20,370,21,91
4/26/20,389,23,112
4/27/20,408,23,113
4/28/20,424,24,122
4/29/20,482,25,129
4/30/20,490,26,135
5/1/20,508,26,196
5/2/20,544,26,206
5/3/20,563,27,213
5/4/20,580,29,223
5/5/20,612,32,228
5/6/20,631,32,261
5/7/20,650,32,271
5/8/20,668,35,285
5/9/20,692,37,298
5/10/20,704,38,351
5/11/20,712,39,377
5/12/20,730,40,398
5/13/20,758,44,412
5/14/20,779,46,436
5/15/20,806,46,455
5/16/20,835,48,479
5/17/20,860,52,494
5/18/20,874,52,512
5/19/20,901,53,529
5/20/20,931,55,543
5/21/20,947,60,558
5/22/20,969,62,560
5/23/20,1015,63,574
5/24/20,1030,65,597
5/25/20,1059,67,604
5/26/20,1077,70,617
5/27/20,1116,70,632
5/28/20,1194,72,652
5/29/20,1226,73,669
5/30/20,1250,76,696
5/31/20,1265,77,716
6/1/20,1315,78,744
6/2/20,1351,78,769
6/3/20,1386,79,788
6/4/20,1461,85,806
6/5/20,1485,87,816
6/6/20,1523,90,845
6/7/20,1533,90,873
6/8/20,1547,92,916
6/9/20,1586,94,931
6/10/20,1667,96,948
6/11/20,1722,97,989
6/12/20,1752,101,1023
6/13/20,1776,104,1058
6/14/20,1809,104,1088
6/15/20,1860,104,1125
6/16/20,1885,104,1145
6/17/20,1890,107,1168
