Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,3,0,0
3/8/20,3,0,0
3/9/20,3,0,0
3/10/20,5,0,0
3/11/20,6,0,0
3/12/20,6,0,0
3/13/20,12,0,1
3/14/20,18,0,1
3/15/20,21,0,1
3/16/20,30,0,2
3/17/20,38,0,2
3/18/20,38,0,2
3/19/20,53,0,2
3/20/20,64,0,2
3/21/20,73,0,2
3/22/20,90,0,2
3/23/20,107,0,2
3/24/20,110,0,2
3/25/20,129,0,2
3/26/20,134,0,2
3/27/20,139,0,2
3/28/20,149,0,2
3/29/20,151,0,2
3/30/20,156,0,2
3/31/20,169,0,2
4/1/20,188,0,2
4/2/20,196,0,2
4/3/20,202,0,2
4/4/20,213,0,2
4/5/20,227,0,5
4/6/20,241,0,5
4/7/20,293,0,5
4/8/20,299,1,16
4/9/20,337,2,16
4/10/20,350,2,16
4/11/20,370,3,16
4/12/20,378,3,44
4/13/20,384,3,44
4/14/20,393,3,44
4/15/20,399,3,44
4/16/20,412,3,82
4/17/20,422,3,91
4/18/20,426,3,99
4/19/20,427,3,118
4/20/20,431,3,126
4/21/20,443,3,150
4/22/20,444,3,165
4/23/20,445,3,204
4/24/20,447,3,223
4/25/20,448,4,249
4/26/20,448,4,282
4/27/20,450,4,286
4/28/20,458,4,303
4/29/20,463,4,339
4/30/20,465,4,351
5/1/20,467,4,383
5/2/20,468,4,379
5/3/20,477,4,392
5/4/20,480,4,399
5/5/20,482,5,403
5/6/20,484,5,407
5/7/20,486,5,413
5/8/20,489,5,419
5/9/20,490,5,427
5/10/20,496,5,433
5/11/20,503,5,434
5/12/20,506,5,434
5/13/20,508,6,436
5/14/20,522,6,443
5/15/20,532,6,458
5/16/20,546,6,450
5/17/20,553,6,454
5/18/20,558,6,456
5/19/20,569,6,460
5/20/20,584,6,465
5/21/20,599,6,468
5/22/20,600,6,469
5/23/20,609,6,473
5/24/20,610,6,476
5/25/20,611,6,485
5/26/20,611,6,485
5/27/20,612,7,491
5/28/20,616,7,501
5/29/20,616,9,514
5/30/20,618,9,525
5/31/20,618,9,534
6/1/20,619,9,537
6/2/20,620,9,554
6/3/20,622,9,562
6/4/20,622,9,576
6/5/20,625,9,583
6/6/20,627,9,596
6/7/20,629,9,596
6/8/20,630,9,596
6/9/20,632,9,597
6/10/20,635,9,597
6/11/20,640,9,600
6/12/20,645,9,600
6/13/20,646,9,601
6/14/20,649,9,603
6/15/20,650,9,603
6/16/20,656,9,608
6/17/20,662,9,610
